"School Number",Latitude,Longitude,Easting,Northing
"6663320",52.515653,-3.323015,310318,291685
"6663322",51.853202,-3.147831,321039,217801
"6664000",52.650948,-3.326446,310362,306738
"6664001",52.762347,-3.2688,314480,319059
"6664002",52.443478,-3.544579,295112,283956
"6664011",52.508495,-3.31884,310587,290884
"6664013",52.665578,-3.13671,323223,308146
"6664021",51.768989,-3.767547,278131,209290
"6664022",51.952539,-3.38194,305125,229129
"6664023",52.029643,-3.205723,317377,237489
"6664024",51.860993,-3.140884,321531,218660
"6664025",52.151224,-3.40735,303807,251260
"6665200",52.673087,-3.43402,303134,309340
"6665500",52.58944,-3.854198,274486,300685
"6667001",52.495155,-3.251916,315103,289319
"6667002",52.506386,-3.324154,310222,290656
"6667004",51.943366,-3.38899,304621,228118
"6672281",52.240959,-4.263714,245533,262722
"6672284",52.21896,-4.16872,251945,260077
"6672285",52.208874,-4.19478,250131,259009
"6672288",52.181023,-4.216579,248547,255957
"6672289",52.17599,-4.143447,253530,255247
"6672291",52.191583,-4.308258,242317,257327
"6672293",52.280237,-4.176184,251640,266907
"6672295",52.210874,-4.358135,238978,259582
"6672298",52.13512,-4.300924,242619,251032
"6672299",52.410235,-4.070936,259233,281154
"6672303",52.422005,-4.039368,261417,282402
"6672308",52.377282,-4.076825,258727,277501
"6672309",52.366653,-3.962933,266447,276102
"6672310",52.315973,-4.057156,259872,270644
"6672311",52.356727,-4.021014,262462,275107
"6672312",52.371253,-3.856913,273678,276423
"6672313",52.405451,-3.983973,265133,280456
"6672314",52.399793,-4.06887,259340,279989
"6672315",52.411714,-3.840866,274885,280895
"6672316",52.45679,-4.017558,263008,286229
"6672317",52.48722,-3.981716,265536,289546
"6672319",52.132883,-4.547382,225745,251347
"6672320",52.086685,-4.499671,228833,246096
"6672323",52.068373,-4.609085,221265,244324
"6672324",52.106138,-4.591977,222587,248481
"6672345",52.053203,-4.498092,228813,242369
"6672353",52.285969,-3.860968,273158,266945
"6672361",52.410235,-4.070936,259233,281154
"6672362",52.478067,-4.053888,260607,288665
"6672363",52.438165,-3.994976,264485,284115
"6672366",52.154543,-4.042203,260385,252662
"6672367",52.047173,-4.528646,226695,241771
"6672368",52.08447,-4.65635,218091,246231
"6672369",52.172527,-4.343425,239845,255285
"6672371",52.134651,-4.439407,233141,251290
"6672372",52.283719,-3.99275,264163,266934
"6672373",52.091278,-4.183032,250540,245907
"6673058",52.311105,-4.142797,254019,270272
"6673318",52.4134,-4.074482,259002,281513
"6674042",52.239479,-4.255524,246087,262540
"6674044",52.087754,-4.655888,218136,246595
"6674047",52.415768,-4.059402,260035,281747
"6674048",52.409661,-4.067597,259458,281084
"6675500",52.111976,-4.081267,257577,248004
"6675501",52.217399,-3.939945,267567,259461
"6675502",52.054226,-4.328796,240423,242097
"6682203",51.694994,-4.816841,205420,203339
"6682209",52.013284,-4.707948,214261,238446
"6682212",52.003347,-5.001911,194046,238134
"6682214",51.799863,-4.979648,194647,215446
"6682220",51.754339,-4.992102,193581,210420
"6682222",51.666184,-4.870792,201566,200281
"6682223",51.858488,-4.72802,212238,221285
"6682228",51.760995,-4.929838,197907,210985
"6682231",51.969456,-4.868292,203067,233995
"6682233",51.913721,-4.789509,208240,227587
"6682242",51.801678,-4.733364,211633,214982
"6682243",52.017088,-4.832419,205737,239195
"6682250",51.930708,-4.901344,200625,229777
"6682253",52.082699,-4.680942,216399,246096
"6682254",51.899841,-4.970665,195720,226537
"6682258",51.712986,-4.699894,213575,205034
"6682260",51.733111,-4.712478,212789,207304
"6682261",51.775686,-4.735068,211407,212096
"6682266",51.781768,-4.641,217920,212533
"6682270",51.929309,-5.161942,182706,230368
"6682271",51.778303,-5.100549,186211,213397
"6682273",51.850674,-5.090924,187216,221415
"6682384",51.722372,-5.135936,183503,207283
"6682385",51.967037,-4.57596,223135,232974
"6682386",51.690645,-4.935231,197220,203178
"6682387",51.674417,-4.92634,197762,201349
"6682388",51.672305,-4.910365,198857,201070
"6682389",51.995093,-4.981967,195377,237160
"6682390",51.971612,-4.647802,218219,233660
"6682391",51.808873,-4.961222,195958,216396
"6682392",51.686661,-4.953147,195964,202785
"6682393",51.710574,-4.949277,196339,205433
"6682395",51.675427,-4.716753,212255,200901
"6682396",51.715728,-5.030855,190728,206237
"6682397",51.800049,-4.975164,194957,215454
"6683035",52.055719,-4.635956,219372,242983
"6683036",51.696484,-4.897155,199877,203722
"6683040",51.750669,-4.914693,198906,209795
"6683042",51.65822,-4.793822,206854,199189
"6683050",51.869799,-4.947544,197175,223132
"6683055",51.676908,-4.777599,208055,201224
"6683058",51.926778,-4.998193,193950,229610
"6683059",51.675427,-4.716753,212255,200901
"6683060",51.665532,-4.953369,195854,200436
"6683061",51.714613,-5.055105,189048,206183
"6683311",51.996906,-4.982146,195373,237362
"6683312",51.687385,-4.941517,196771,202833
"6683313",51.795501,-4.97717,194798,214954
"6683314",51.718181,-5.033017,190590,206516
"6683315",51.826515,-4.875568,201939,218121
"6683319",51.674232,-4.704632,213088,200737
"6683320",51.789809,-4.971621,195155,214306
"6683321",51.721167,-4.77416,208480,206136
"6684031",51.996412,-4.988189,194956,237324
"6684035",51.674675,-4.715061,212369,200813
"6684038",51.685372,-4.923203,198028,202558
"6684063",51.724201,-5.023153,191299,207157
"6684064",51.971612,-4.647802,218219,233660
"6684512",51.797515,-4.981452,194512,215190
"6685500",51.821249,-4.959975,196100,217769
"6685900",51.881317,-5.256785,175948,225320
"6687001",51.798375,-4.982292,194458,215288
"6691000",51.793288,-3.985914,263138,212380
"6692000",51.804441,-4.100096,255300,213841
"6692001",51.802077,-4.129038,253297,213636
"6692002",51.830707,-4.08245,256600,216727
"6692003",51.785054,-4.108068,254688,211701
"6692006",51.788795,-4.119516,253911,212140
"6692007",51.802826,-4.075005,257025,213612
"6692008",51.798848,-4.090974,255911,213201
"6692009",51.817018,-4.347904,238261,215761
"6692014",51.893499,-4.271492,243793,224099
"6692018",51.788264,-4.195988,248635,212237
"6692019",51.766014,-4.225641,246514,209825
