National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,,,,
,,,,,,,
Primary schools / Ysgolion cynradd,,,,,,,
,,,,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                        
Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,,,,
,,,,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth",,,
6672372,YSGOL RHOS HELYG,Ceredigion / Sir Ceredigion,ERW / ERW,Amber/Oren,,,
6673058,YSGOL WIRFODDOL MYFENYDD,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6673061,YSGOL GYNRADD DYFFRYN CLEDLYN,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6673318,ST PADARN'S CATHOLIC PRIMARY SCHOOL,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6675500,Ysgol Bro Pedr,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6675501,Ysgol Henry Richard,Ceredigion / Sir Ceredigion,ERW / ERW,Yellow/Melyn,,,
6675502,Ysgol Bro Teifi,Ceredigion / Sir Ceredigion,ERW / ERW,Green/Gwyrdd,,,
6682203,SAGESTON COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,,,
6682209,YSGOL GYNRADD GYMUNEDOL EGLWYSWRW,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682212,YSGOL GYMUNEDOL WDIG / GOODWICK COMMUNITY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682214,FENTON COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,,,
6682220,JOHNSTON COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682222,LAMPHEY CP SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682223,YSGOL GYMUNEDOL BRYNCONIN,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682228,HOOK CP SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682231,YSGOL LLANYCHLLWYDOG,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682233,YSGOL GYMUNEDOL MAENCLOCHOG,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682242,NARBERTH COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682243,YSGOL BRO INGLI,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682250,PUNCHESTON COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682253,YSGOL LLANDUDOCH,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682254,WOLFSCASTLE COMMUNTY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682258,SAUNDERSFOOT COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682260,STEPASIDE COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682261,TEMPLETON COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682266,TAVERNSPITE COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682270,YSGOL GYMUNEDOL CROESGOCH,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682271,BROAD HAVEN CP SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682273,ROCH COMMUNITY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682384,COASTLANDS CP SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682385,YSGOL CLYDAU,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682386,PEMBROKE DOCK COMMUNITY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682387,MONKTON PRIORY COMMUNITY PRIMARY  SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682388,GOLDEN GROVE CP SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682389,YSGOL GLANNAU GWAUN,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682390,YSGOL Y FRENNI,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6682391,PRENDERGAST COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682392,PENNAR COMMUNITY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682393,NEYLAND COMMUNITY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,,,
6682395,YSGOL HAFAN Y MOR,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6682396,MILFORD HAVEN COMMUNITY PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,,,
6682397,WALDO WILLIAMS PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683035,CILGERRAN CHURCH IN WALES VC SCHOOL ,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683036,COSHESTON VC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683040,CLEDDAU REACH VC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6683042,MANORBIER CHURCH IN WALES VC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6683050,SPITTAL CHURCH IN WALES VC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Red/Coch,,,
6683055,ST FLORENCE CHURCH IN WALES VC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683058,YSGOL GER Y LLAN,Pembrokeshire / Sir Benfro,ERW / ERW,Red/Coch,,,
6683059,TENBY CHURCH IN WALES VC PRIMARY SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683060,PENRHYN CHURCH IN WALES VC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683061,GELLISWICK VC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683311,HOLY NAME RC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683313,MARY IMMACULATE CATHOLIC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,,,
6683314,ST FRANCIS CATHOLIC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd,,,
6683315,ST AIDANS CHURCH IN WALES VA SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683319,ST TEILOS RC SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Amber/Oren,,,
6683320,ST MARKS CHURCH IN WALES VA SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6683321,ST OSWALDS CHURCH IN WALES VA SCHOOL,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6685500,Ysgol Caer Elen,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6685900,Ysgol Penrhyn Dewi,Pembrokeshire / Sir Benfro,ERW / ERW,Yellow/Melyn,,,
6692000,CEFNEITHIN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692001,DREFACH,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692003,LLECHYFEDACH,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692006,TYMBL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692007,GORSLAS,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692008,CROSS HANDS,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692009,LLANGAIN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692014,PENIEL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692018,BANCFFOSFELEN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692019,GWYNFRYN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692020,CARWAY,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692023,PONTIETS,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692024,PONTHENRI,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692034,BANCYFELIN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692037,MEIDRIM,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692042,SARON,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692043,BETWS,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692044,TY-CROES,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692050,PARCYRHUN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692052,BLAENAU,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Red/Coch,,,
6692057,LLANEDI,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692061,FFAIRFACH,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692065,TALLEY,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692067,CWRT HENRI,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692080,LLANGADOG,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692084,RHYS PRICHARD,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692098,LLYS HYWEL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692104,BRYNSARON,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692109,LLANPUMSAINT,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692112,MYNYDDYGARREG,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692114,JOHNSTOWN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692116,Y DDERWEN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692119,LLANMILOE,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692120,BRYN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692121,BYNEA,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692123,DAFEN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692128,PUM HEOL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692131,HENDY,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692135,FFWRNES,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692159,OLD ROAD,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692166,LLANSTEFFAN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692167,LLANNON,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692168,BRYNSIERFEL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692169,BRYNAMAN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692170,ABERNANT,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692171,MYRDDIN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692173,LLANGUNNOR,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692175,TRIMSARAN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692176,SWISS VALLEY,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692177,PARC Y TYWYN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692178,PEMBREY,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692179,RHYDAMAN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692180,BECA,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692181,LLANDYBIE,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692182,HAFODWENOG,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692183,TEILO SANT,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692184,LLANYBYDDER,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692185,LLANDEILO,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692187,CYNWYL ELFED,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692188,HALFWAY,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692189,PWLL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692190,PENYGAER,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692192,Y CASTELL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Red/Coch,,,
6692193,PENYGROES,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692194,NANTGAREDIG,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692370,GWENLLIAN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692371,DEWI SANT,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692373,PONTYBEREM,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692374,BIGYN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692375,STEBONHEATH,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692379,Y DDWYLAN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692380,RICHMOND PARK,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692384,GRIFFITH JONES,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692385,Y FRO,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692386,CARREG HIRFAEN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692387,CAE'R FELIN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692388,Y BEDOL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6692389,BRO BRYNACH,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692390,BRYN TEG,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692391,Y FELIN,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692392,BRO BANW,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692393,MAES Y MORFA,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692394,BURRY PORT,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6692395,PENRHOS,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6692396,YSGOL GYMRAEG LLANGENNECH,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6693000,ABERGWILI,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6693003,LAUGHARNE,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6693004,LLANDDAROG,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6693013,FERRYSIDE,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Yellow/Melyn,,,
6693026,LLANLLWNI,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6693300,ST MARY'S (LLANELLI),Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6693301,ST MARY'S (CARMARTHEN),Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Amber/Oren,,,
6693307,PENBOYR,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6693321,PENTIP,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Red/Coch,,,
6693322,MODEL,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd,,,
6702006,BRYNMILL SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702008,Cadle Primary School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702014,Cwmrhydyceirw Primary School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702017,DANYGRAIG PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702021,GENDROS PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702023,GLAIS PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702027,GRANGE PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702032,HAFOD PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702036,Ysgol Gymraeg  Lon Las,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702040,MORRISTON PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702042,OYSTERMOUTH PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702048,PENTRECHWYTH PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702051,PLASMARL PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702054,SKETTY PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702055,ST HELEN'S PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702059,TERRACE ROAD PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702063,TOWNHILL PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702065,WAUNARLWYDD PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702067,WAUN WEN SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702069,CLWYD PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702071,YNYSTAWE PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702073,CLASE PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702075,PORTMEAD PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702076,MAYALS PRIMARY,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702077,CWMGLAS PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702082,BLAENYMAES PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702084,Trallwn Primary School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702086,PARKLAND PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702092,Newton Primary School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702095,WHITESTONE PRIMARY,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702096,HENDREFOILAN PRIMARY,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702098,Y.G.G. BRYNYMOR,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702105,Bishopston Primary School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702108,CASLLWCHWR PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702109,CILA PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702120,CRWYS PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702157,LLANGYFELACH PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702159,LLANRHIDIAN PRIMARY,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702167,PENCLAWDD PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Amber/Oren,,,
6702172,PENGELLI PRIMARY,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702174,PENLLERGAER PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702176,PENYRHEOL PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702186,PONTARDDULAIS PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702189,Y.G.G. BRYNIAGO,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702192,PONTLLIW PRIMARY,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702211,TRE UCHAF PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702212,Y.G.G. PONTYBRENIN,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702215,CRAIGFELEN PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702216,PENNARD PRIMARY,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702217,KNELSTON PRIMARY,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702219,PEN-Y-FRO,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702223,PONTYBRENIN PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702225,TALYCOPA PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702226,GLYNCOLLEN PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702229,YSGOL GYMRAEG Y LOGIN FACH,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702231,Y.G.G. TIRDEUNAW,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702232,Y.G.G. Gellionnen,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702233,GORS COMMUNITY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702234,SEA VIEW PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702235,Y.G.G. Llwynderw,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702236,Birchgrove Primary,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702237,DUNVANT Primary SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702238,GWYROSYDD PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702239,St Thomas Community Primary School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702240,GOWERTON PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702241,Pentre'r Graig Primary School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702242,YGG TANYLAN,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6702243,Burlais Primary School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702244,Clydach Primary School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702245,Ysgol Gymraeg Y Cwm,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702246,Gorseinon Primary School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6702247,Brynhyfryd Primary School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6703303,ST. DAVID'S RC PRIMARY SCHOOL,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6703305,ST ILLTYDS PRIMARY,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,,,
6703306,CHRISTCHURCH CHURCH IN WALES,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6703308,ST JOSEPH'S R.C. PRIMARY,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6703309,St Josephs Cathedral Primary School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,,,
6712100,Alltwen Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712101,Blaendulais Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712106,Blaengwrach Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
