National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,,,,
,,,,,,,
Primary schools / Ysgolion cynradd,,,,,,,
,,,,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                        
Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,,,,
,,,,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth",,,
6612208,Ysgol Cefn Coch,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612210,Ysgol Talsarnau,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612211,Ysgol Gynradd Tanygrisiau,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612212,Ysgol Gynradd Penybryn,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612213,Ysgol Bro Hedd Wyn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612214,Ysgol Bro Tryweryn,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612219,Ysgol Tanycastell,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612220,Ysgol Ffridd y LLyn,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612221,Ysgol Maenofferen,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612227,Ysgol Hirael,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6612228,Ysgol Craig y Deryn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6612229,Ysgol Bro Llifon,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6613004,YSGOL PONT Y GOF,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6613005,Ysgol Gynradd Maesincla,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6613009,Ysgol Y Faenol,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6613010,YSGOL FOEL GRON,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6613013,Ysgol Llandygai,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6613018,Ysgol Gynradd Llandwrog,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6613023,Ysgol Gynradd Llanystumdwy,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6613029,Ysgol Tregarth,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6613030,Ysgol Cae Top,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,,,
6613300,Ysgol Santes Helen,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6613301,Ysgol Ein Harglwyddes,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6615500,Bro Idris,Gwynedd / Gwynedd,GwE / GwE,Amber/Oren,,,
6615501,Ysgol Godre'r Berwyn,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,,,
6622012,Ysgol Betws y Coed,Conwy / Conwy,GwE / GwE,Amber/Oren,,,
6622023,Ysgol Capelulo,Conwy / Conwy,GwE / GwE,Amber/Oren,,,
6622038,Ysgol Deganwy,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622043,Ysgol Dolwyddelan,Conwy / Conwy,GwE / GwE,Amber/Oren,,,
6622044,Ysgol Ffordd Dyffryn,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622053,Ysgol Glanwydden,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622061,Ysgol Tudno,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622063,Ysgol Morfa Rhianedd,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622086,Ysgol Penmachno,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622103,Ysgol Llandrillo yn Rhos,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622104,Ysgol Talhaiarn,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622106,Ysgol Babanod Mochdre,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622108,Ysgol  T. Gwynn Jones,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622110,Ysgol Maes Owen,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622111,Ysgol Glan Gele,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622112,Ysgol Glan Morfa,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622114,Ysgol Bod Alaw,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622115,Ysgol Pant y Rhedyn,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622118,Ysgol Y Foryd,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622121,Ysgol Craig y Don,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622123,Ysgol Cerrigydrudion,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622131,Ysgol Llannefydd,Conwy / Conwy,GwE / GwE,Amber/Oren,,,
6622132,"Ysgol Bro Aled, Llansannan",Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622148,Ysgol Gynradd Bro Cernyw,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622221,Ysgol Sant Elfod,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622222,Ysgol Capel Garmon,Conwy / Conwy,GwE / GwE,Amber/Oren,,,
6622225,Ysgol Glan Conwy,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622264,Ysgol Cynfran,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622267,Ysgol Iau Hen Golwyn,Conwy / Conwy,GwE / GwE,Amber/Oren,,,
6622269,Ysgol Cystennin,Conwy / Conwy,GwE / GwE,Amber/Oren,,,
6622270,Ysgol Pentrefoelas,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622271,Ysgol Bro Gwydir,Conwy / Conwy,GwE / GwE,Green/Gwyrdd,,,
6622272,Ysgol Nant Y Groes,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622273,Ysgol Swn Y Don,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6622274,Ysgol Awel y Mynydd,Conwy / Conwy,GwE / GwE,Red/Coch,,,
6622275,Ysgol Dyffryn yr Enfys,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
6623020,Ysgol Babanod Llanfairfechan,Conwy / Conwy,GwE / GwE,Yellow/Melyn,,,
