National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,
,,,,
Secondary schools / Ysgolion uwchradd,,,,
,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                  Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,
,,,,
,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth"
6724085,Ysgol Gyfun Gymraeg Llangynwyd,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6724086,Coleg Cymunedol Y Dderwen,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6724601,Archbishop McGrath Catholic School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6734060,LLANTWIT MAJOR SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6734065,COWBRIDGE COMPREHENSIVE SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6734067,St Cyres Comprehensive School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
6734068,Whitmore High School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6734069,Pencoedtre High School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6734612,St Richard Gwyn Catholic High School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6735400,Stanwell School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6735500,YSGOL GYMRAEG BRO MORGANNWG,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6744019,Bryncelynnog Comprehensive School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6744022,The Pontypridd High School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6744027,Hawthorn High School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6744053,Mountain Ash Comprehensive School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
6744081,Treorchy Comprehensive School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
6744083,Ferndale Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
6744096,Y Pant Comprehensive,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6744097,Ysgol Gyfun Cwm Rhondda,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6744105,Ysgol Gyfun Rhydywaun,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6744106,Aberdare Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Red/Coch
6744602,Cardinal Newman R.C.,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6744604,St.John Baptist High School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6745500,Ysgol Llanhari,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6745501,Porth Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Red/Coch
6745502,Ysgol Nantgwyn,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6745503,Tonyrefail Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6745504,Ysgol Garth Olwg,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6754011,Afon Taf High School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
6754012,PEN-Y-DRE HIGH SCHOOL,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6754013,Cyfarthfa High School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
6754600,Bishop Hedley High School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6764031,Newbridge School,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn
6764046,Blackwood Comprehensive School,Caerphilly / Caerffili,EAS / GCA,Amber/Oren
6764065,St Cenydd School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd
6764068,Risca Community Comprehensive,Caerphilly / Caerffili,EAS / GCA,Red/Coch
6764070,St Martin's School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd
6764073,HEOLDDU COMPREHENSIVE SCHOOL,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn
6764075,Lewis School Pengam,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn
