"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5142066 - Ysgol Llangybi ",61.08,49.32,46.32,43.32,36.88,32.32
"","","","5142069 - Ysgol Gynradd Llanllechid ",234.52,248.08,251.04,249.92,251.32,257.08
"","","","5142070 - Ysgol Llanllyfni ",85.52,82.4,83.08,73.04,75.28,75.28
"","","","5142071 - Ysgol Llidiardau ",".",".",".",".",".","."
"","","","5142075 - Ysgol Morfa Nefyn ",44.64,42.96,36.52,36.2,34.04,37.64
"","","","5142078 - Ysgol Baladeulyn ",28.32,29.08,30.76,25.64,24.44,24.32
"","","","5142081 - Ysgol Gynradd Nebo ",25.88,24.32,22.32,22.44,22,18
"","","","5142085 - Ysgol Gymuned Penisarwaun ",48.2,46.08,51.64,48.2,57.52,57.2
"","","","5142089 - Ysgol Bro Lleu ",179.44,184.56,188.08,198.68,193.92,189.92
"","","","5142093 - Ysgol Pentreuchaf ",113.48,115.28,117.28,106.96,95.32,90.16
"","","","5142097 - Ysgol Gynradd Rhiwlas ",38.32,36.08,39.08,38.76,38.2,35.2
"","","","5142098 - Ysgol Gynradd Rhosgadfan ",45.64,46.76,44.52,45.2,36.64,38.32
"","","","5142099 - Y.G. Rhostryfan ",75.4,81.4,87.84,83.4,81.4,82.28
"","","","5142101 - Y.G. Rhydyclafdy ",".",".",".",".",".","."
"","","","5142103 - Ysgol Sarn Bach ",58.64,57.32,45.76,49.32,44.76,48.88
"","","","5142104 - Ysgol Eifion Wyn ",195,189.44,191.56,194.92,179.44,192.12
"","","","5142108 - Ysgol Gynradd Talysarn ",76.64,86.84,92.6,90.6,99.28,95.72
"","","","5142110 - Ysgol Y Gorlan ",106.84,101.92,90.96,101.8,111.16,111.6
"","","","5142111 - Ysgol Yr Eifl ",47.4,52.84,54.96,53.64,54.52,53.2
"","","","5142112 - Ysgol Gynradd Tudweiliog ",47.84,50.08,50.08,49.2,49.96,50.64
"","","","5142113 - Ysgol Waunfawr ",127.28,129.56,137.68,135.84,128.28,120.16
"","","","5142116 - Ysgol Glancegin ",201.2,208.28,217.64,229.72,234.96,230.04
"","","","5142118 - Ysgol Babanod Coed Mawr ",35.64,35.52,28.96,25.76,18.2,4.3
