"","","","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 ","2021-22 "
"","Merthyr Tydfil ","",9101.53,8798.49,8499.34,8286.31,8540.12,8659.3,8736.14,8852.51,8948.68,8938.13
"","Merthyr Tydfil ","Merthyr Tydfil - Nursery ",146.34,72,74.16,51.16,56,60.83,58.33,0,0,0
"","","Merthyr Tydfil - Primary ",5047.2,5233.15,5279.17,5220.83,5448.8,5541.14,5612.46,5701.17,5684.7,5672.13
"","","Merthyr Tydfil - Middle ",".",".",0,0,0,0,0,0,0,0
"","","Merthyr Tydfil - Secondary ",3760.99,3346.34,2999.01,2867.32,2865.32,2875.33,2890.01,2981.01,3098.65,3095
"","","Merthyr Tydfil - Special ",147,147,147,147,170,182,175.34,170.33,165.33,171
"","Caerphilly ","",27733,27617,27590.5,27665.5,27293,27233,26921.6,26771.5,26620.5,26584.5
"","Caerphilly ","Caerphilly - Nursery ",0,0,0,0,0,0,0,0,0,0
"","","Caerphilly - Primary ",15534.5,15704,15944.5,16127.5,16019,16141,15960,15608,15418.5,15252.5
"","","Caerphilly - Middle ",".",".",0,0,0,0,692,888,894,865
"","","Caerphilly - Secondary ",12074,11792,11515,11410,11146,10946,10119.6,10108,10140,10286
"","","Caerphilly - Special ",124.5,121,131,128,128,146,150,167.5,168,181
"","Blaenau Gwent ","",9553,8975,8912.5,8832.5,8738,8712,8736,8784,8819.5,8738.5
"","Blaenau Gwent ","Blaenau Gwent - Nursery ",0,0,0,0,0,0,0,0,0,0
"","","Blaenau Gwent - Primary ",5277.416667,5174,5200.5,5336,4768.8,4450,4453.5,4523,4469.5,4417
"","","Blaenau Gwent - Middle ",".",".",1488,1413.5,2240.8,2806,2782.5,2773,2791,2810.5
"","","Blaenau Gwent - Secondary ",4175.583333,3704,2127,1984,1632.4,1351,1361,1335,1394,1343
"","","Blaenau Gwent - Special ",100,97,97,99,96,105,139,153,165,168
"","Torfaen ","",15175,14886.5,14600.541667,14417.75,14355.5,14277.5,14313,14239,14087.5,13652
"","Torfaen ","Torfaen - Nursery ",59,57.5,40.083333,26,20,20.5,9.5,0,0,0
"","","Torfaen - Primary ",7456,7544.5,7573.458333,7742.75,7938,7973.5,7995,8009.5,7974,7904
"","","Torfaen - Middle ",".",".",0,0,0,0,0,0,0,0
"","","Torfaen - Secondary ",7571,7193,6896,6555,6297,6177,6198,6114,5996,5633
"","","Torfaen - Special ",89,91.5,91,94,100.5,106.5,110.5,115.5,117.5,115
"","Monmouthshire ","",11496,11454,11310.5,11321.5,11318.5,11394,11439.5,11283,11342.5,11223
"","Monmouthshire ","Monmouthshire - Nursery ",0,0,0,0,0,0,0,0,0,0
"","","Monmouthshire - Primary ",6356,6389,6436.5,6443.5,6474.5,6541,6588.5,6523,6511.5,6408
"","","Monmouthshire - Middle ",".",".",0,0,0,0,0,0,0,0
"","","Monmouthshire - Secondary ",5093,5020,4831,4836,4804,4797,4795,4702,4773,4815
"","","Monmouthshire - Special ",47,45,43,42,40,56,56,58,58,0
"","Newport ","",23203.59871,23355.62892,23532.168318,23895,24024,24351.5,24817,25258,25552.5,26130.575
"","Newport ","Newport - Nursery ",106,99,86.541667,80,64,67.5,75,50,49,60.875
"","","Newport - Primary ",12319,12630.5,12822.5,13280,13657,14030,14547,14732,14736.5,14780
"","","Newport - Middle ",".",".",0,0,0,0,0,0,0,0
"","","Newport - Secondary ",10656,10496,10493,10383,10146,10070,10014,10265,10543,11061
"","","Newport - Special ",122.59871,130.12892,130.126652,152,157,184,181,211,224,228.7
"","Cardiff ","",48749,49080.2,49998,50757.75,51470.42,51891.5,52436.5,52949,53573.5,54278.75
"","Cardiff ","Cardiff - Nursery ",182,212,170,167.5,157.5,153,145.5,138,135.5,212
"","","Cardiff - Primary ",27603,28208.5,29363,30202,30919,31383.5,31584,31521.5,31436,31024
"","","Cardiff - Middle ",".",".",0,0,0,0,0,0,0,0
"","","Cardiff - Secondary ",20462,20130,19936,19820,19821,19791,20135,20675,21356,22357
"","","Cardiff - Special ",502,529.7,529,568.25,572.92,564,572,614.5,646,685.75


