"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5322237 - Dunvant Primary ",854.481,947.61,989.014,1167.524,1208,1287.535
"","","","5322238 - Gwyrosydd Primary ",1546.322,1570.215,1605.782,1617.814,1587,1667.109
"","","","5322239 - St Thomas Community Primary School ",1083.678,1189.614,1239.745,1239.744,1289,1369.895
"","","","5322240 - Tregwyr Primary School ",1114.63,1158.087,1169.82,1128.63,1147,1251.239
"","","","5322241 - New Welsh Medium Primary School at Graig ",978.978,955.387,899.327,942.88,973,1009.985
"","","","5322242 - New Primary School at Pentrepoeth ",423.538,471.155,554.836,566.519,607,674.487
"","","","5322243 - Burlais Primary ",1860.511,1978.858,1996.285,1886.031,1945,2085.804
"","","","5322244 - Clydach Primary School ",685.075,742.659,750.777,800.527,861,871.892
"","","","5322245 - Ysgol Gymraeg y Cwm ",324.217,394.698,513.343,520.293,552,616.453
"","","","5322246 - Gorseinon Primary School ",1117.301,1059.385,1048.064,949.316,908,933.98
"","","","5322247 - Brynhyfryd Primary School ",787.323,1429.022,1434.687,1382.005,1423,1505.635
"","","","5323300 - St Josephs  Cathedral Junior School ",".",".",".",".",".","."
"","","","5323302 - St Joseph's Cathedral Infant School ",".",".",".",".",".","."
"","","","5323303 - St David's Catholic Primary School ",678.421,669.292,638.018,607.026,545,539.321
"","","","5323305 - St Illtyd's R.C. Primary School ",676.802,733.571,675.948,691.814,696,762.076
"","","","5323306 - Christchurch (C.I.W.) Voluntary Aided Primary School ",461.398,482.296,496.826,521.541,526,581.909
"","","","5323308 - St Josephs Catholic Primary School ",643.37,659.939,654.443,651.812,670,735.011
"","","","5323309 - St Josephs Cathedral Primary School ",1501.133,1419.575,1373.376,1370.226,1420,1503.664
"","","","5329997 - Y.G y Cwm ",".",".",".",".",".","."
"","","","5329998 - Gorseinon Primary ",".",".",".",".",".","."
"","","","5329999 - Clydach Primary ",".",".",".",".",".","."
"","","","5329991 - Unallocated resources - primary ",0,0,395,-116,9300,0
"","","Swansea - Middle ","5329996 - Unallocated resources - middle ",".",0,0,0,0,0
"","","Swansea - Secondary ","",59266.698,61637.239,63177.821,64205.0772,69350.28,72049.188
"","","Swansea - Secondary ","5324031 - Cefn Hengoed Community School ",3307.147,3436.022,3710.434,3887.056,4270.6,4660.963
"","","","5324032 - Olchfa School ",6925.796,7103.652,7054.943,7084.494,7362.337,8117.145
"","","","5324033 - Morriston Comprehensive School ",4536.983,4564.531,4623.975,4684.877,5108.955,5443.04
"","","","5324043 - Pentrehafod School ",4297.566,4534.269,4603.966,4824.375,5059.872,5521.843
"","","","5324044 - Bishop Gore School ",5084.264,5491.442,5606.958,5807.817,5864.275,6277.178
"","","","5324062 - Penyrheol Comprehensive School ",4036.976,4287.401,4180.134,4221.4062,4340.329,4734.514
"","","","5324063 - Gowerton School ",4635.412,4714.652,4914.549,5224.756,5481.647,5835.381
"","","","5324069 - Bishopston Comprehensive School ",4411.436,4683.443,4760.087,4970.629,4998.649,5423.764
"","","","5324072 - Pontarddulais Comprehensive School ",3476.308,3575.408,3638.909,3656.272,3796.853,4331.941
"","","","5324074 - Ysgol Gyfun Gwyr ",3518.44,3647.911,4023.288,4148.837,3930.283,5045.487
"","","","5324075 - Birchgrove Comprehensive School ",2895.641,2875.963,2843.256,3036.196,2911.115,3168.237
"","","","5324076 - Dylan Thomas Community School ",3131.657,3118.051,3227.821,3235.158,3356.375,3689.912
"","","","5324077 - Daniel James Community School ",".",".",".",".",".","."
"","","","5324078 - Ysgol Gyfun Bryn Tawe ",3313.361,3621.936,3782.227,3821.974,4451.42,4345.319
"","","","5324600 - Bishop Vaughan R.C. School ",5695.711,5982.558,6010.274,5601.23,5228.57,5454.464
"","","","5329992 - Unallocated resources - secondary ",0,0,197,0,3189,0
"","","Swansea - Special ","",3295.314,3555.504,3626.105,4317.213,5213,4699.906993
"","","Swansea - Special ","5327000 - Penybryn Senior Special School ",2043.307,2197.965,2227.649,2610.803,3208,3064.267709
"","","","5327008 - Ysgol Crug Glas ",1252.007,1357.539,1398.456,1706.41,1750,1635.639283
"","","","5329993 - Unallocated resources - special ",0,0,0,0,255,0
"","Neath Port Talbot ","","",79170.369028,80916.847223,81286.54873,83091.947664,86789.616774,91885.489907
"","Neath Port Talbot ","Neath Port Talbot - Nursery ","5349994 - Unallocated resources - nursery ",0,0,0,0,0,0
"","","Neath Port Talbot - Primary ","",40161.673935,40031.112796,39585.87044,40107.794158,41082.557167,43554.668524
"","","Neath Port Talbot - Primary ","5342100 - Alltwen Primary School ",572.577398,665.592404,710.467004,710.60046,766.457336,777.38131
"","","","5342101 - Blaendulais Primary School ",560.537969,549.542482,565.528601,588.733852,603.569628,643.248995
"","","","5342106 - Blaengwrach Primary School ",456.647901,511.269173,527.778883,493.17301,504.001789,550.036215
"","","","5342110 - Blaenhonddan Primary School ",771.656183,800.942058,790.322561,823.947051,872.482365,940.164065
"","","","5342111 - Abergwynfi Junior School ",".",".",".",".",".","."
"","","","5342113 - Brynhyfryd Primary School ",410.689675,458.88644,410.995949,176.46345,".","."
"","","","5342116 - Abergwynfi Infant School ",".",".",".",".",".","."
"","","","5342118 - Clun Primary School ",189.54392,".",".",".",".","."
"","","","5342119 - Baglan Primary School ",666.204812,771.944414,797.737674,834.829535,868.136934,931.519722
"","","","5342121 - Coedffranc Junior School ",".",".",".",".",".","."
"","","","5342124 - Bryn Primary School ",224.161024,".",".",".",".","."
"","","","5342125 - Ysgol G.G.D. Cwmgors ",222.001471,".",".",".",".","."
"","","","5342126 - Coedffranc Infant School ",".",".",".",".",".","."
"","","","5342127 - Central Junior School ",638.625893,".",".",".",".","."
"","","","5342128 - Ysgol GGD Cwmllynfell ",398.892504,388.499485,350.505897,353.796166,328.61516,332.886982
"","","","5342129 - Creunant Primary School ",446.801518,451.400525,456.838705,398.816574,412.04272,429.918987
"","","","5342130 - Central Infant School ",756.945542,".",".",".",".","."
"","","","5342132 - Cwmafan Junior School ",".",".",".",".",".","."
"","","","5342134 - Crymlyn Primary School ",250.114695,297.537471,280.55131,242.98173,304.226484,343.10046
"","","","5342135 - Cwmafan Infant School ",".",".",".",".",".","."
"","","","5342137 - Cwmnedd Primary School ",586.219085,602.032776,618.426893,622.450422,718.792965,708.732547
"","","","5342138 - Cymer Afan Primary School ",258.927695,251.642947,300.456875,282.370598,286.543829,311.514821
"","","","5342139 - Ysgol GGD Glyn ",".",".",".",".",".","."
"","","","5342140 - Godre'rgraig Primary School ",412.014604,446.602545,496.681054,509.962346,512.7906,553.817428
"","","","5342141 - Duffryn Afan Primary School ",".",".",".",".",".","."
"","","","5342142 - Eastern Primary School ",663.321581,679.079434,643.435278,625.62747,611.249709,670.607494
"","","","5342144 - Gnoll Primary School ",1107.873242,1180.277857,1209.269916,1198.240212,1305.953462,1445.79487
"","","","5342145 - Glanymor Primary School ",".",".",".",".",".","."
"","","","5342148 - Glyncorrwg Primary School ",352.146657,334.412122,310.755588,332.395139,327.959065,350.916929
"","","","5342149 - YGGD Gwauncaegurwen ",414.042751,523.135476,532.630542,520.668888,553.086555,601.199242
"","","","5342150 - Catwg Primary School ",810.030752,820.722262,793.938502,832.794661,846.672714,903.446601
"","","","5342152 - Llansawel Primary School ",329.294181,344.112434,253.759413,119.045314,".","."
"","","","5342155 - Maesmarchog Primary  School ",518.185625,557.787131,543.653574,557.394762,631.92333,711.568181
"","","","5342156 - Pontrhydyfen Primary School ",258.600752,".",".",".",".","."
"","","","5342158 - Ysgol GG Rhos-Afan ",963.964894,953.07957,998.647167,1024.975698,1122.954749,1258.73914
"","","","5342160 - Melin Junior School ",427.84311,459.943664,".",".",".","."
"","","","5342161 - Sandfields Primary School ",1026.042757,1080.114657,1114.557216,1132.413234,1112.368005,1195.509416
"","","","5342165 - Tonmawr Primary School ",371.319515,".",".",".",".","."
"","","","5342166 - Mynachlog Nedd Junior School ",479.567898,".",".",".",".","."
"","","","5342168 - Ysgol G.G. Castell Nedd ",985.624948,1048.453764,1071.946393,1112.606026,1154.985426,1239.258642
"","","","5342170 - Neath Abbey Infants ",596.611295,".",".",".",".","."
"","","","5342171 - Tirmorfa Primary School ",".",".",".",".",".","."
"","","","5342173 - Croeserw Primary School ",675.394908,707.818926,715.880111,718.254119,779.29682,750.25691
"","","","5342175 - Tywyn Primary School ",1780.568831,1811.839512,1804.09792,1856.818914,1966.285003,2119.420809
"","","","5342178 - Llangiwg Primary School ",513.536308,480.315775,480.216858,442.229499,502.840703,488.537034
"","","","5342181 - Tonnau Primary ",503.047767,583.674491,629.805758,599.486011,680.199944,694.22909
"","","","5342182 - Traethmelyn Primary School ",763.785051,334.391015,".",".",".","."
"","","","5342187 - Ynysfach Primary School ",428.609562,524.546495,574.221416,565.378091,564.626566,549.615369
"","","","5342191 - Blaenbaglan Primary School ",1067.375035,1024.483731,1021.198244,1084.043235,1145.119566,1187.459922
"","","","5342193 - Ynysmaerdy Primary School ",598.000906,611.485784,698.03385,284.002503,".","."
"","","","5342196 - Crynallt Junior School ",".",".",".",".",".","."
"","","","5342198 - Ysgol G.G.D. Rhiwfawr ",".",".",".",".",".","."
"","","","5342200 - Rhos Primary School ",522.736013,458.316116,502.809397,522.10246,501.220549,571.446513
"","","","5342202 - Y.G.G.  Blaendulais ",368.576597,352.634345,383.764715,375.031343,358.42594,411.075762
"","","","5342203 - Rhydyfro Primary School ",393.228793,470.224515,543.925656,497.140843,523.929005,602.320079
"","","","5342204 - Groes Primary  School ",558.179482,515.410322,562.559986,275.324144,".","."
"","","","5342205 - Y.G.G. Cwmnedd ",576.352964,535.419916,495.336361,455.902287,419.681487,503.235894
"","","","5342206 - Tairgwaith Primary School ",395.3184,399.537385,382.845313,431.051389,407.421011,460.799127
"","","","5342207 - Crynallt Infant School ",".",".",".",".",".","."
"","","","5342208 - YGGD Trebannws ",517.498931,493.474005,432.923544,428.416267,452.254906,456.534219
"","","","5342213 - YGGD  Y Wern ",516.218737,465.373069,192.664598,".",".","."
"","","","5342218 - Y.G.G.  Pontardawe ",877.689401,953.261242,982.57201,1016.640374,1010.114349,1055.799806
"","","","5342221 - Waunceirch Primary School ",800.762901,881.599163,833.527926,865.096594,917.938353,1013.809653
"","","","5342228 - Melin Infant School ",404.399083,424.851978,".",".",".","."
"","","","5342230 - Cilffriw Primary School ",913.666185,932.968707,898.144133,893.386147,938.075326,923.572451
"","","","5342231 - Y.G.G. Tyle'r Ynn ",614.008849,676.761879,682.131615,660.657384,691.40745,755.53314
"","","","5342232 - Coed Hirwaun Primary School ",532.21983,576.81954,536.264418,537.452219,580.513346,617.301016
"","","","5342233 - Coedffranc Primary School ",1133.511863,1059.574871,1097.142124,1375.324897,1406.280082,1491.727895
"","","","5342234 - Pen Afan Primary ",391.828005,393.830556,425.447151,404.28009,434.600627,435.533803
"","","","5342235 - Awel Y Môr Primary School ",1130.551333,1155.673363,1067.05977,1308.539583,1286.239997,1452.547946
"","","","5342236 - Crynallt Primary ",1190.715138,1316.958335,1369.451764,1556.319818,1627.152775,1726.905925
"","","","5342237 - Cwmafan Primary School ",1128.594553,1176.876192,1197.423491,1173.399921,1231.748031,1282.994135
"","","","5342238 - Central Primary School ",".",1312.942044,1383.675229,1428.304841,1440.90768,1474.728419
"","","","5342239 - Abbey Primary School ",".",1267.117842,1315.447771,1315.178941,1417.768814,1548.001857
"","","","5342240 - Melin Primary School ",".",".",749.598349,770.084036,790.601294,810.31034
"","","","5342241 - Ysgol Carreg Hir ",".",".",".",687.375376,1310.634481,1357.998645
"","","","5343309 - St Josephs R.C.Primary School ",475.228561,536.758676,530.877502,528.674498,498.782101,511.236684
"","","","5343310 - St Joseph's Infant School ",392.825968,392.218578,394.931759,411.59597,462.987402,503.262927
"","","","5343311 - Bryncoch C.I.W. School ",587.515641,593.565969,581.694969,540.903895,456.675123,495.089211
"","","","5343313 - Alderman Davies C.I.W. School ",1177.359549,1211.481363,1129.157229,1147.454783,1151.272059,1085.291604
"","","","5343314 - St Therese's R.C. School ",686.930897,741.086685,726.573812,699.144409,738.799036,764.494854
"","","","5343316 - St Joseph's Junior School ",418.406045,429.809319,433.580697,480.512681,527.944512,554.235437
"","","","5349991 - Unallocated resources - primary ",0,51,52,278,16,0
"","","Neath Port Talbot - Middle ","",0,4217.230617,10002.294056,14817.74222,18071.643744,20116.634428
"","","Neath Port Talbot - Middle ","5349996 - Unallocated resources - middle ",".",0,0,0,0,0
"","","","5345500 - Ysgol Bae Baglan ",".",4217.230617,7204.545615,7122.350085,7325.1617,7684.548604
"","","","5345501 - Ysgol Newydd Gymunedol Gymraeg ",".",".",2797.748442,5258.309839,5942.038543,6543.266889
"","","","5345502 - Ysgol Cwm Brombil ",".",".",".",2437.082297,4804.443501,5888.818935
"","","Neath Port Talbot - Secondary ","",34788.296643,32074.203224,26904.806203,23119.793639,22363.812019,22293.863774
"","","Neath Port Talbot - Secondary ","5344047 - Cymer Afan Comprehensive School ",1495.654673,1506.98087,1547.908681,1547.392855,599.529,"."
"","","","5344052 - Glan Afan Comprehensive School ",1742.633393,724.847758,".",".",".","."
"","","","5344056 - Sandfields Comprehensive School ",3212.872129,1392.171586,".",".",".","."
"","","","5344059 - Dyffryn School ",3546.354054,3703.776248,3501.406052,1555.332394,".","."
"","","","5344060 - Ysgol Gyfun Ystalyfera ",3849.760457,4196.432341,1805.727146,".",".","."
"","","","5344064 - Cefn Saeson Comprehensive School ",2673.826648,2777.031528,2978.329176,3168.122941,3475.61277,3770.141512
"","","","5344065 - Cwmtawe Comprehensive School ",5343.617658,5374.343645,5516.736022,5482.112463,5688.801228,5950.681188
"","","","5344066 - Llangatwg Comprehensive School ",3029.460647,3038.203583,3003.492907,3084.545295,3380.866861,3737.906156
"","","","5344067 - Dwr-Y-Felin Comprehensive School ",4400.657973,4655.838877,4667.478483,4699.054476,4810.348931,4957.369211
"","","","5344068 - Cwrt Sart Comprehensive School ",2348.989054,968.003515,".",".",".","."
"","","","5344601 - St Joseph's  Catholic School and 6th form Centre ",3144.469957,3158.573274,3451.727735,3362.233214,3569.653229,3877.765708
"","","","5349992 - Unallocated resources - secondary ",0,578,432,221,839,0
"","","Neath Port Talbot - Special ","",4220.39845,4594.300586,4793.578031,5046.617647,5271.603843,5920.323182
"","","Neath Port Talbot - Special ","5347005 - Ysgol Hendre Residential School ",".",".",".",".",".","."
"","","","5347006 - Ysgol Maes Y Coed ",2013.228449,2019.819695,2175.796671,2374.518951,2454.233741,2576.432067
"","","","5347007 - Velindre Community Special School ",".",".",".",".",".","."
"","","","5347008 - Ysgol Hendrefelin ",2207.170001,2574.48089,2617.78136,2672.098697,2817.370102,3343.891115
"","","","5349993 - Unallocated resources - special ",0,0,0,0,0,0
"","Bridgend ","","",91558.64282,93105,93333,94134,100663,105718
"","Bridgend ","Bridgend - Nursery ","",0,0,0,0,0,0
"","","Bridgend - Nursery ","5361017 - Pontycymer ",".",".",".",".",".","."
"","","","5361019 - Caerau Nursery School ",".",".",".",".",".","."
"","","","5361022 - Sarn Nursery School ",".",".",".",".",".","."
"","","","5369994 - Unallocated resources - nursery ",0,0,0,0,0,0
"","","Bridgend - Primary ","",43085.743814,43852,43955,44373,46664,48330
"","","Bridgend - Primary ","5362046 - Abercerdin Primary School ",740.111734,779,747,771,740,738
"","","","5362048 - Aber Infants School ",".",".",".",".",".","."
"","","","5362051 - Betws Primary School ",892.109061,909,843,855,871,891
"","","","5362055 - Blaengarw Primary School ",623.951022,616,632,612,643,684
"","","","5362086 - Brynmenyn Primary School ",613.900605,631,652,913,1150,1348
"","","","5362090 - Bryntirion Infants School ",701.222647,731,699,715,754,779
"","","","5362094 - Blaencaerau Junior School ",".",".",".",".",".","."
"","","","5362103 - Cefn Cribwr Primary School ",737.945967,758,769,788,831,893
"","","","5362109 - Coity Primary School ",763.136275,1120,1209,1255,1368,1474
"","","","5362117 - Cwmfelin Primary School ",624.262633,638,658,677,683,734
"","","","5362122 - Ffaldau Primary School ",600.055427,620,582,631,633,671
"","","","5362126 - Fronwen Primary School ",".",".",".",".",".","."
"","","","5362129 - Garth  Primary School ",741.059528,667,678,687,745,798
"","","","5362136 - Heolycyw Primary School ",".",".",".",".",".","."
"","","","5362141 - Litchard Junior School ",".",".",".",".",".","."
"","","","5362146 - Coychurch (Llangrallo) Primary School ",407.196228,455,499,496,523,542
"","","","5362149 - Llangynwyd Primary School ",387.075132,418,438,410,418,450
"","","","5362162 - Mynydd Cynffig County Junior ",653.148352,".",".",".",".","."
"","","","5362166 - Mynydd Cynffig Infants ",674.369901,".",".",".",".","."
"","","","5362172 - Nantyffyllon Primary School ",810.619285,840,865,843,851,878
"","","","5362178 - Nantymoel Primary School ",690.604794,645,639,640,693,724
"","","","5362185 - Newton Primary School ",765.226012,820,810,813,729,842
"","","","5362194 - Nottage Primary School ",1298.360546,1320,1342,1397,1340,1392
"","","","5362198 - Oldcastle Junior School ",".",".",".",".",".","."
"","","","5362202 - Oldcastle Infants School ",".",".",".",".",".","."
"","","","5362205 - Pandy Infants School ",".",".",".",".",".","."
"","","","5362210 - Pencoed Junior School ",".",".",".",".",".","."
"","","","5362214 - Pencoed Infant School ",".",".",".",".",".","."
"","","","5362220 - Penybont Primary School ",1092.763494,1111,1104,1115,1164,1145
"","","","5362227 - Pil  Primary School ",818.909548,820,781,731,772,775
"","","","5362232 - Plasnewydd Primary School ",888.30389,851,914,873,924,906
"","","","5362256 - Trelales Primary School ",752.316574,741,709,689,741,800
"","","","5362259 - Ysgol Cynwyd Sant ",1007.117128,1016,958,954,995,1062
"","","","5362268 - Tynewydd Junior School ",".",".",".",".",".","."
"","","","5362275 - Tynyrheol Primary School ",305.954762,344,305,321,306,281
"","","","5362279 - Croesty Primary School ",727.526321,750,755,703,738,785
"","","","5362288 - Corneli Primary School ",1044.627797,974,869,924,999,1005
"","","","5362292 - Llangewydd Junior School ",1149.846719,1154,1167,1204,1265,1329
"","","","5362294 - Bryntirion Junior School ",".",".",".",".",".","."
"","","","5362296 - Porthcawl Primary School ",566.141648,560,569,624,634,693
"","","","5362298 - Ysgol Gymraeg Bro Ogwr ",1288.534309,1295,1241,1298,1266,1291
"","","","5362299 - Litchard Infant School ",".",".",".",".",".","."
"","","","5362300 - Cefn Glas Infant School ",756.038891,721,696,590,679,742
"","","","5362301 - West Park Primary School ",1224.004595,1247,1237,1237,1236,1361
"","","","5362303 - Brackla Junior School ",".",".",".",".",".","."
"","","","5362304 - Afon-Y-Felin Primary School ",471.845334,501,542,512,502,583
"","","","5362332 - Blaenllynfi Infants School ",".",".",".",".",".","."
"","","","5362342 - Tondu Primary School ",854.785947,909,912,900,804,864
"","","","5362357 - Brackla Infant School ",".",".",".",".",".","."
"","","","5362358 - Ysgol Y Ferch O'r Sger ",771.110791,803,701,604,609,646
"","","","5362360 - Tremains Junior School ",".",".",".",".",".","."
"","","","5362363 - Ysgol G.G. Cwm Garw ",635.540848,652,631,634,703,865
"","","","5362366 - Tremains Infant School ",".",".",".",".",".","."
"","","","5362367 - Maes yr Haul Primary School ",1689.311118,1642,1665,1657,1605,1651
"","","","5362368 - Bryncethin Primary School ",941.809152,982,1002,1009,984,1016
"","","","5362369 - Ogmore Vale Primary ",1235.746038,1311,1305,1382,1358,1400
"","","","5362370 - Pencoed Primary School ",1798.065521,1856,1844,1951,2044,2155
"","","","5362371 - Oldcastle Primary ",1190.661861,1192,1219,1230,1288,1387
"","","","5362372 - Brackla Primary ",944.567103,955,1019,1076,1111,1170
"","","","5362373 - Caerau Primary ",1733.33457,1695,1733,1738,1856,1903
"","","","5362374 - Litchard Primary ",1394.162304,1385,1464,1490,1534,1676
"","","","5362375 - Tremains Primary ",1597.036047,1585,1603,1592,1624,1706
"","","","5362376 - Mynydd Cynffig Primary School ",".",1303,1399,1343,1377,1467
"","","","5362999 - Ogmore Vale Primary School ",".",".",".",".",".","."
"","","","5363013 - Penyfai C.I.W. Primary ",754.73151,811,791,822,838,889
"","","","5363311 - St Mary's & St Patrick's Catholic Primary School ",702.394655,688,682,669,733,772
"","","","5363315 - St Robert's Primary Catholic School ",568.768264,573,592,588,625,658
"","","","5363322 - St Mary's  Catholic Primary School ",770.459957,744,791,718,735,850
"","","","5363323 - Archdeacon John Lewis ",626.971966,665,642,651,623,632
"","","","5365000 - Tremains Primary ",".",".",".",".",".","."
"","","","5369991 - Unallocated resources - primary ",58,49,51,41,1020,27
"","","Bridgend - Middle ","5369996 - Unallocated resources - middle ",".",0,0,0,0,0
"","","Bridgend - Secondary ","",41540.421006,41580,41470,41781,44886,47532
"","","Bridgend - Secondary ","5364059 - Cynffig Comprehensive School ",3455.066376,3421,3567,3688,3870,4417
"","","","5364068 - Bryntirion Comprehensive School ",4446.68542,4553,4854,5029,5343,5755
"","","","5364071 - Maesteg Comprehensive School ",4867.900445,5013,4967,4796,5006,5512
"","","","5364074 - Ynysawdre Comprehensive School ",".",".",".",".",".","."
"","","","5364076 - Pencoed Comprehensive School ",4022.444862,4017,4014,4127,4310,4825
"","","","5364078 - Brynteg Comprehensive School ",6963.007335,6813,6585,6367,6658,6782
"","","","5364080 - Porthcawl Comprehensive School ",5592.90162,5473,5324,5157,5459,5665
"","","","5364084 - Ogmore Comprehensive School ",".",".",".",".",".","."
"","","","5364085 - YGG Llangynwyd ",2798.874952,2953,2956,3130,3198,3460
"","","","5364086 - Gateways to the Valleys Comprehensive School ",6157.628615,5948,5804,5984,6299,6778
"","","","5364601 - Archbishop Mcgrath Catholic School ",3188.41138,3354,3370,3440,3718,4089
"","","","5369992 - Unallocated resources - secondary ",47.5,35,29,63,1025,249
"","","Bridgend - Special ","",6932.478,7673,7908,7980,9113,9856
"","","Bridgend - Special ","5367003 - Heronsbridge  School ",4985.52,5633,5637,5570,6142,6482
"","","","5367012 - Ysgol Bryn Castell ",1945.458,2034,2271,2410,2871,3188
"","","","5369993 - Unallocated resources - special ",1.5,6,0,0,100,186
"","Vale of Glamorgan ","","",86109.116767,87350.862,88957,90201,93409,100022
"","Vale of Glamorgan ","Vale of Glamorgan - Nursery ","",799.303108,836.414,547,546,573,586
"","","Vale of Glamorgan - Nursery ","5381010 - Cadoxton Nursery School ",285.996005,300.962,".",".",".","."
"","","","5381011 - Cogan Nursery School ",249.519785,263.463,276,284,290,291
"","","","5381013 - Bute Cottage Nursery School ",263.787318,271.989,271,262,283,295
"","","","5389994 - Unallocated resources - nursery ",0,0,0,0,0,0
"","","Vale of Glamorgan - Primary ","",40257.412208,40547.086,41956,42586,43330,45705
"","","Vale of Glamorgan - Primary ","5382109 - Albert C.P. School ",1122.591801,1278.585,1314,1295,1308,1372
"","","","5382111 - Barry Island Primary ",793.655964,813.565,808,828,835,857
"","","","5382112 - Cadoxton Junior School ",".",".",".",".",".","."
"","","","5382113 - Cadoxton Infant School ",".",".",".",".",".","."
"","","","5382114 - Cogan Primary School ",731.764631,738.681,736,753,755,801
"","","","5382115 - Colcot Primary School ",1095.035215,1080.994,1115,1106,1089,1187
"","","","5382116 - Dinas Powys  Infants ",".",".",".",".",".","."
"","","","5382117 - Fairfield Primary School ",1024.988998,911.037,998,1028,1014,1086
"","","","5382118 - Gladstone Primary School ",1361.928143,1393.551,1416,1391,1434,1858
"","","","5382120 - High Street Primary School ",863.484633,825.598,886,913,953,1015
"","","","5382122 - Holton Primary School ",1284.415883,1304.425,1412,1454,1394,1509
"","","","5382124 - Jenner Park Primary ",1027.987886,1012.428,1038,1029,1077,1199
"","","","5382126 - Llancarfan C.P. School ",476.090119,460.874,458,469,469,408
"","","","5382127 - Llanfair C.P. School ",523.421326,536.674,543,560,594,634
"","","","5382128 - Llangan C.P. School ",483.667249,490.724,497,512,517,532
"","","","5382131 - Palmerston Primary School ",791.335,830.896,831,856,843,866
"","","","5382133 - Rhws Primary School ",1182.172728,1193.632,1226,1263,1271,1328
"","","","5382134 - Romilly Junior School ",".",".",".",".",".","."
"","","","5382135 - Romilly Infant School ",".",".",".",".",".","."
"","","","5382136 - Sully Primary School ",1123.225171,1126.885,1129,1148,1178,1209
"","","","5382138 - Victoria Primary School ",1502.706741,1520.324,1575,1575,1577,1668
"","","","5382142 - Llanilltud Fawr Primary ",365.475744,".",".",".",".","."
"","","","5382143 - Murch Junior School ",".",".",".",".",".","."
"","","","5382144 - St Athan Primary School ",833.505156,767.865,802,826,859,876
"","","","5382146 - St Illtyd's Primary School ",1282.974128,1185.5,1185,1220,1254,1245
"","","","5382148 - Evenlode C.P. School ",1222.601087,1254.607,1262,1295,1281,1304
"","","","5382149 - Llandough Primary ",672.549697,736.005,736,804,826,859
"","","","5382151 - Y Bontfaen Primary ",763.046568,773.12,794,785,836,861
"","","","5382152 - Ysgol Pen Y Garth ",1136.042227,1135.27,1194,1194,1203,1240
"","","","5382156 - Ysgol Sant Baruc ",724.458034,720.086,754,761,825,859
"","","","5382163 - Oakfield Primary School ",641.08999,716.115,736,784,773,807
"","","","5382165 - Ysgol Iolo Morganwg ",717.409452,723.413,734,712,674,791
"","","","5382178 - Ysgol Sant Curig ",1185.868135,1265.935,1328,1328,1307,1406
"","","","5382179 - Ysgol Gynradd Gwaun Y Nant ",750.864443,833.622,837,834,855,893
"","","","5382180 - Eagleswell Primary ",311.683003,".",".",".",".","."
"","","","5382181 - Cadoxton Community Primary ",1233.96412,1295.089,1628,1627,1680,1736
"","","","5382182 - Romilly Community Primary School ",1844.508869,1894.442,1969,2028,2082,2188
"","","","5382183 - Ysgol Gymraeg Nant Talwg ",234.554146,".",".",".",".","."
"","","","5382184 - Ysgol Gymraeg Dewi Sant ",425.220902,480.124,567,595,726,790
"","","","5382185 - Dinas Powys Primary School ",1437.864809,1484.419,1542,1569,1578,1629
"","","","5382186 - Ysgol Y Ddraig ",779.195673,1313.213,1306,1266,1202,1287
"","","","5383027 - Penarth C.I.W. Primary ",".",".",".",".",".","."
"","","","5383037 - St Nicholas C.I.W. Primary ",522.368399,532.692,541,553,557,567
"","","","5383047 - Peterston Super Ely C.I.W. Primary ",613.733595,658.249,650,669,709,706
"","","","5383057 - Gwenfo C.I.W. Primary ",649.069997,709.425,702,795,783,863
"","","","5383320 - St Brides C.I.W. Primary School ",645.291719,629.752,689,710,733,789
"","","","5383321 - Wick Marcross C.I.W. Primary School ",482.606906,469.053,491,496,516,598
"","","","5383361 - St Helen's R.C. Infant & Nursery School ",581.659938,571.015,49,".",".","."
"","","","5383363 - Pendoylan C.I.W. Primary School ",692.468525,710.306,699,678,722,762
"","","","5383364 - St Andrews Major C.I.W. Primary School ",705.946971,726.069,748,742,773,792
"","","","5383365 - Llansannor C.I.W. Primary School ",746.523614,737.48,752,775,827,846
"","","","5383367 - St David's C.I.W. Primary School ",569.725553,549.853,556,572,603,640
"","","","5383368 - St Joseph's R.C. Primary School ",694.378068,700.959,742,764,846,830
"","","","5383369 - St Helen's R.C. Junior School ",615.657251,651.109,54,".",".","."
"","","","5383372 - All Saints C.I.W. Primary School ",786.634004,803.426,798,803,817,823
"","","","5383373 - St Helen's Primary School ",".",".",1129,1221,1175,1189
"","","","5389991 - Unallocated resources - primary ",0,0,0,0,0,0
"","","Vale of Glamorgan - Middle ","",2522.252151,4456.858,4539,4766,5002,5575
"","","Vale of Glamorgan - Middle ","5389996 - Unallocated resources - middle ",0,0,0,0,0,0
"","","","5385500 - Ysgol Gymraeg Bro Morgannwg ",".",4456.858,4539,4766,5002,5575
"","","","5386000 - New 3-19 Welsh medium school ",2522.252151,".",".",".",".","."
"","","Vale of Glamorgan - Secondary ","",36506.3413,35110.761,35080,35210,36242,38543
"","","Vale of Glamorgan - Secondary ","5384060 - Llantwit Major School ",3969.783348,3973.113,4021,4072,4243,4677
"","","","5384061 - Barry Comprehensive School ",4738.137137,4458.561,4168,1799,".","."
