"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5142075 - Ysgol Morfa Nefyn ",192.167717,195.591282,175.964652,208.997815,179.81147,192.322599
"","","","5142078 - Ysgol Baladeulyn ",163.154134,172.884938,169.209823,174.054672,165.328846,179.777855
"","","","5142081 - Ysgol Gynradd Nebo ",166.851852,158.824092,158.278835,175.576838,171.122449,179.438473
"","","","5142085 - Ysgol Gymuned Penisarwaun ",202.822624,196.684289,207.486727,217.391187,253.020241,269.504161
"","","","5142089 - Ysgol Bro Lleu ",601.48017,600.498798,615.558276,679.591948,696.4816,748.669479
"","","","5142093 - Ysgol Pentreuchaf ",413.985171,433.833633,453.254472,424.888776,383.659082,397.264339
"","","","5142097 - Ysgol Gynradd Rhiwlas ",173.490736,181.863315,221.707094,231.03394,196.091973,192.541014
"","","","5142098 - Ysgol Gynradd Rhosgadfan ",196.719368,215.481263,209.934396,206.237373,200.824361,220.26867
"","","","5142099 - Y.G. Rhostryfan ",273.59229,288.085746,304.387169,296.794596,290.378775,295.724883
"","","","5142101 - Y.G. Rhydyclafdy ",".",".",".",".",".","."
"","","","5142103 - Ysgol Sarn Bach ",223.491244,218.776058,180.735967,211.389592,207.971361,228.890182
"","","","5142104 - Ysgol Eifion Wyn ",686.165899,686.192375,690.976041,717.364973,672.877014,745.452114
"","","","5142108 - Ysgol Gynradd Talysarn ",324.295943,412.415326,412.894429,392.039799,423.480674,447.653706
"","","","5142110 - Ysgol Y Gorlan ",392.00351,389.708485,343.50732,411.108996,430.91956,460.773438
"","","","5142111 - Ysgol Yr Eifl ",206.248822,225.58207,233.275967,247.97338,243.076335,238.881809
"","","","5142112 - Ysgol Gynradd Tudweiliog ",189.651054,203.119326,199.763474,199.343651,214.027443,237.623107
"","","","5142113 - Ysgol Waunfawr ",449.650825,444.348743,476.548731,455.935078,453.024125,474.792551
"","","","5142116 - Ysgol Glancegin ",775.35194,725.641948,799.515517,902.301002,858.198824,919.111596
"","","","5142118 - Ysgol Babanod Coed Mawr ",203.197467,197.490249,188.966661,167.048376,171.075171,58.183073
"","","","5142119 - Ysgol Yr Hendre ",1321.974025,1384.774307,1422.864425,1368.469753,1370.028116,1446.449374
"","","","5142122 - Ysgol Gynradd Bontnewydd ",608.873485,645.915148,614.625645,614.286491,646.962825,701.703397
"","","","5142123 - Ysgol Y Garnedd ",938.524924,994.377562,1039.325398,998.712962,1001.990368,1171.603319
"","","","5142125 - Ysgol Cymerau ",1124.098094,1122.32232,1096.709805,1092.506925,1089.363231,1162.615999
"","","","5142126 - Ysgol Abercaseg ",351.830775,378.035749,450.067172,472.115001,414.924594,421.884401
"","","","5142127 - Ysgol Gynradd Y Felinheli ",488.844057,540.891452,568.187089,552.16864,553.02688,622.718398
"","","","5142179 - Y.G. Abergynolwyn ",".",".",".",".",".","."
"","","","5142180 - Ysgol Bro Tegid ",381.534451,374.952486,399.976763,420.965499,176.713348,"."
"","","","5142181 - Ysgol Y Traeth ",625.763127,679.559605,719.841124,697.54018,733.369353,762.245439
"","","","5142182 - Ysgol Y Clogau ",180.248217,0,0,".",".","."
"","","","5142183 - Ysgol Gynradd Brithdir ",164.624038,158.723317,71.897508,".",".","."
"","","","5142184 - Ysgol Gynradd Bryncrug ",".",".",".",".",".","."
"","","","5142185 - Ysgol Gynradd Corris ",210.2471,256.836177,276.867096,257.282459,279.776235,256.92395
"","","","5142186 - Ysgol Gynradd Croesor ",".",".",".",".",".","."
"","","","5142187 - Ysgol Dinas Mawddwy ",167.486297,163.080532,84.901354,".",".","."
"","","","5142189 - Ysgol Dyffryn Ardudwy ",267.61431,246.804957,253.251954,287.149685,313.997221,395.479597
