"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 ","2021-22 "
"","","","5129992 - Unallocated resources - secondary ",".",".",".",".",".",".","."
"","","Isle of Anglesey - Special ","",17388.235294,16444.444444,16244.444444,17044.444444,17346.153846,18676.190476,18903.508772
"","","Isle of Anglesey - Special ","5127011 - Ysgol Y Bont ",17388.235294,16422.222222,16233.333333,17011.111111,17336.538462,18666.666667,18894.736842
"","","","5129993 - Unallocated resources - special ",".",".",".",".",".",".","."
"","Gwynedd ","","",4516.650953,4498.889943,4513.099476,4537.754389,4652.87812,4949.61712,5079.851602
"","Gwynedd ","Gwynedd - Nursery ","5149994 - Unallocated resources - nursery ",".",".",".",".",".",".","."
"","","Gwynedd - Primary ","",4077.507812,3988.299951,3873.463964,3925.755007,4037.329296,4315.948146,4461.197147
"","","Gwynedd - Primary ","5142000 - Ysgol Gwaun Gynfi ",4091.127577,3937.638062,3631.26288,3623.949385,3813.888813,4074.82151,4242.707691
"","","","5142004 - Ysgol Gynradd Nefyn ",3788.701538,3805.248362,3681.36228,3629.381108,3670.305452,3861.227136,3856.166667
"","","","5142006 - Ysgol Gynradd Llanrug ",3255.726465,3403.217625,3186.641943,3261.552316,3318.548395,3585.928981,3616.336476
"","","","5142008 - Ysgol Gynradd Abererch ",3795.034334,3855.613545,3619.621384,4040.902988,4111.913213,4397.316998,4750.239878
"","","","5142009 - Ysgol Gynradd Abersoch ",8493.508741,7182.286953,6797.292399,7708.6464,10200.467627,17403.549165,15826.760724
"","","","5142010 - Ysgol Gynradd Beddgelert ",6096.727387,6982.269222,8756.968521,9838.046565,7844.347478,7814.043746,8114.413245
"","","","5142011 - Ysgol Gynradd Bethel ",3591.55125,3606.579466,3643.439286,3839.637992,3755.857701,3917.596555,3863.998866
"","","","5142013 - Ysgol Bodfeurig ",3580.756422,3695.151698,3681.613487,3673.410189,3979.988561,4401.079174,4431.138763
"","","","5142015 - Ysgol Borthygest ",4164.300644,3280.61867,3851.545271,3839.094612,3822.965762,4544.92132,5175.530634
"","","","5142016 - Ysgol Bronyfoel ",7719.330249,".",".",".",".",".","."
"","","","5142017 - Ysgol Brynaerau ",3997.274679,3792.07472,3979.793272,3924.883277,3862.928692,4549.619374,4642.020223
"","","","5142024 - Ysgol Gynradd Carmel ",4868.972538,".",".",".",".",".","."
"","","","5142026 - Ysgol Y Gelli ",3296.948667,3279.53257,3187.383968,3227.838686,3137.118048,3430.688466,3501.135438
"","","","5142028 - Ysgol Penybryn ",3756.929421,3619.002554,3705.294692,3800.750035,4222.990108,4580.337842,4528.626796
"","","","5142033 - Ysgol Treferthyr ",3378.733436,3497.602545,3664.872851,3739.298592,3630.045924,4215.177085,4080.275267
"","","","5142035 - Ysgol Gynradd Cwm-y-Glo ",4697.993874,4657.515094,6265.939045,9857.69199,0,".","."
"","","","5142036 - Ysgol Gynradd Chwilog ",3841.815703,3962.209757,4001.533708,4565.979042,4509.584883,4761.290105,4782.13646
"","","","5142039 - Ysgol Crud Y Werin ",3700.737703,3929.549426,3597.640199,3979.925706,4267.904804,4746.181767,4783.287341
"","","","5142042 - Ysgol Dolbadarn ",3497.484856,3429.198197,3379.941583,3660.413807,3675.597539,3835.941493,3926.566001
"","","","5142046 - Ysgol Gynradd Edern ",3850.507369,3788.053537,3656.456101,3915.070609,4092.65927,4783.803567,4558.280499
"","","","5142047 - Ysgol Gynradd Felinwnda ",5821.124634,6874.36431,7804.724502,7539.330525,5948.15447,7101.001705,11410.643408
"","","","5142048 - Ysgol Bro Plennydd ",3988.209087,4172.446985,3879.691229,4114.959839,4117.546669,4403.72288,4616.050653
"","","","5142049 - Ysgol Garndolbenmaen ",4235.664278,4294.918375,3858.299972,4010.759647,4247.491337,4848.145815,6108.031737
"","","","5142051 - Ysgol Glanadda ",4775.200507,4516.098683,5051.539633,5451.48024,6434.089041,7132.856097,"."
"","","","5142057 - Y.G. Y Groeslon ",3597.603886,".",".",".",".",".","."
"","","","5142059 - Y.G. Llanaelhaearn ",5827.417945,6703.843782,9492.661928,9299.009096,12670.857973,17050.739635,"."
"","","","5142060 - Ysgol Llanbedrog ",4099.334713,4163.006619,3973.29354,4302.181459,4066.42101,4273.807082,4243.774612
"","","","5142066 - Ysgol Llangybi ",4112.111063,4408.004341,4520.275014,4626.359534,5582.020444,6611.090937,6783.908818
"","","","5142069 - Ysgol Gynradd Llanllechid ",3501.738056,3345.775645,3266.599307,3191.732266,3209.424429,3531.949309,3726.813079
"","","","5142070 - Ysgol Llanllyfni ",4009.183752,3869.344737,4055.649922,3954.183554,4086.724721,4445.331839,4648.167259
"","","","5142071 - Ysgol Llidiardau ",".",".",".",".",".",".","."
"","","","5142075 - Ysgol Morfa Nefyn ",4304.832368,4552.869702,4818.309196,5773.420302,5282.358094,5109.527071,5475.790706
"","","","5142078 - Ysgol Baladeulyn ",5761.092316,5945.149178,5500.969528,6788.40373,6764.682721,7392.181532,8706.63525
"","","","5142081 - Ysgol Gynradd Nebo ",6447.134941,6530.595896,7091.34564,7824.279761,7778.293154,9968.804029,11720.374356
"","","","5142085 - Ysgol Gymuned Penisarwaun ",4207.938262,4268.322249,4017.945905,4510.19061,4398.821995,4711.611198,4839.308736
"","","","5142089 - Ysgol Bro Lleu ",3351.984896,3253.677925,3272.853446,3420.535273,3591.59241,3942.02548,4162.929251
"","","","5142093 - Ysgol Pentreuchaf ",3648.089279,3763.303548,3864.720937,3972.408157,4024.958893,4406.214936,4332.800996
"","","","5142097 - Ysgol Gynradd Rhiwlas ",4527.420032,5040.557523,5673.160041,5960.627966,5133.29773,5469.915168,5065.80509
"","","","5142098 - Ysgol Gynradd Rhosgadfan ",4310.240323,4608.239151,4715.507536,4562.773729,5481.014215,5748.138561,6365.217812
"","","","5142099 - Y.G. Rhostryfan ",3628.544965,3539.136928,3465.245552,3558.6882,3567.306814,3594.128379,3925.334833
"","","","5142101 - Y.G. Rhydyclafdy ",".",".",".",".",".",".","."
"","","","5142103 - Ysgol Sarn Bach ",3811.242229,3816.749097,3949.64962,4286.082558,4646.366413,4682.696026,5321.082324
"","","","5142104 - Ysgol Eifion Wyn ",3518.799482,3622.214819,3607.099819,3680.304601,3749.871902,3880.138006,4030.366605
"","","","5142108 - Ysgol Gynradd Talysarn ",4231.418883,4749.140097,4458.903123,4327.150098,4265.51847,4676.699809,4693.599131
"","","","5142110 - Ysgol Y Gorlan ",3669.070664,3823.670374,3776.465701,4038.398778,3876.570345,4128.794244,4271.798754
"","","","5142111 - Ysgol Yr Eifl ",4351.24097,4269.153484,4244.468108,4622.919096,4458.480096,4490.259575,4693.142644
"","","","5142112 - Ysgol Gynradd Tudweiliog ",3964.277888,4055.89709,3988.887269,4051.70023,4283.976047,4692.399422,4587.080877
"","","","5142113 - Ysgol Waunfawr ",3532.768893,3429.675385,3461.277827,3356.412531,3531.525766,3951.336143,3868.580747
"","","","5142116 - Ysgol Glancegin ",3853.637872,3483.973248,3673.568817,3927.829542,3652.531598,3995.442515,4119.615223
"","","","5142118 - Ysgol Babanod Coed Mawr ",5701.38797,5559.973234,6525.091877,6484.797196,9399.734664,13530.947217,"."
"","","","5142119 - Ysgol Yr Hendre ",3859.102128,3759.704353,3560.721784,3570.790505,3674.968123,3883.711131,4053.274141
"","","","5142122 - Ysgol Gynradd Bontnewydd ",3770.581403,3782.590464,3687.458875,3532.818559,3634.622614,3894.025513,3940.022548
"","","","5142123 - Ysgol Y Garnedd ",2980.958341,3105.101057,3111.380068,3125.666507,3174.472083,3555.412772,3628.476768
"","","","5142125 - Ysgol Cymerau ",3564.039612,3509.450656,3392.025873,3363.629694,3493.340274,3761.537462,3926.022145
"","","","5142126 - Ysgol Abercaseg ",3598.923639,3538.335355,3660.273034,3728.008533,3683.634537,3984.552331,4324.489793
"","","","5142127 - Ysgol Gynradd Y Felinheli ",3350.08263,3460.155146,3373.231352,3153.087256,3217.517339,3524.555115,3536.123979
"","","","5142179 - Y.G. Abergynolwyn ",".",".",".",".",".",".","."
"","","","5142180 - Ysgol Bro Tegid ",3317.690875,3260.456404,3305.593085,3263.298443,3339.464851,".","."
"","","","5142181 - Ysgol Y Traeth ",3222.261212,3375.519595,3537.6505,3664.321181,3683.792211,3769.759836,3818.494182
"","","","5142182 - Ysgol Y Clogau ",7485.391067,0,0,".",".",".","."
"","","","5142183 - Ysgol Gynradd Brithdir ",4095.125328,3980.023003,5093.09384,".",".",".","."
"","","","5142184 - Ysgol Gynradd Bryncrug ",".",".",".",".",".",".","."
"","","","5142185 - Ysgol Gynradd Corris ",4539.013387,4879.106697,4599.121197,4429.794413,4751.634427,5061.543548,5514.246736
"","","","5142186 - Ysgol Gynradd Croesor ",".",".",".",".",".",".","."
"","","","5142187 - Ysgol Dinas Mawddwy ",7855.830052,6224.447782,7491.295925,".",".",".","."
"","","","5142189 - Ysgol Dyffryn Ardudwy ",4316.359839,3917.538998,3837.150815,3933.557328,3876.508899,4483.895661,4651.123472
"","","","5142190 - Ysgol Bro Cynfal ",4821.060048,4576.13503,4330.167942,4392.337153,4471.06659,4654.217273,4587.470979
"","","","5142191 - Ysgol Gynradd Y Ganllwyd ",8659.956211,10404.473905,10141.600706,".",".",".","."
"","","","5142192 - Ysgol Edmwnd Prys ",6885.39473,6636.61744,6520.970822,6476.732936,6115.717212,7177.034663,7619.910723
"","","","5142194 - Ysgol Gynradd Llanbedr ",4921.848747,4944.852155,4679.433133,4171.152818,4421.046011,4567.36786,4774.577273
"","","","5142196 - Ysgol Gynradd Llanegryn ",".",".",".",".",".",".","."
"","","","5142197 - Ysgol Gynradd Llanelltyd ",4556.34598,3870.905958,3925.87817,".",".",".","."
"","","","5142198 - Ysgol Y Garreg ",7341.877608,6732.701322,6053.423184,6716.777922,6868.557635,8365.188581,9155.106962
"","","","5142199 - Ysgol O.M. Edwards ",3961.686061,3747.910656,3384.201823,3377.225992,3463.295156,3818.401236,3905.03463
"","","","5142200 - Y.G. Llawrybetws ",".",".",".",".",".",".","."
"","","","5142201 - Y.G. Llwyngwril ",".",".",".",".",".",".","."
"","","","5142205 - Ysgol Y Manod ",3627.7735,3646.247474,3716.49274,3596.865056,3776.960269,4024.890097,4297.008355
"","","","5142206 - Ysgol Gynradd Y Parc ",".",".",".",".",".",".","."
"","","","5142207 - Ysgol Gynradd Pennal ",6724.911482,6966.856803,7944.976565,9158.321986,11263.913322,9224.357196,8976.315473
"","","","5142208 - Ysgol Cefn Coch ",3667.952594,3662.915541,3428.478029,3587.829807,3672.228671,4055.46578,4241.612645
"","","","5142210 - Ysgol Gynradd Talsarnau ",5432.344658,4633.512649,4826.590855,4370.376934,4667.337631,5050.874729,5204.42195
"","","","5142211 - Ysgol Gynradd Tanygrisiau ",4560.969885,4715.886105,4205.814412,3836.760132,3860.612295,4322.44326,4744.775563
"","","","5142212 - Ysgol Penybryn ",3400.543696,3464.688026,3309.504084,3371.361519,3455.007602,3742.287614,3870.515543
"","","","5142213 - Ysgol Bro Hedd Wyn ",3869.684285,3553.481287,3611.060226,3857.401289,4425.77641,4789.631752,4908.158462
"","","","5142214 - Ysgol Bro Tryweryn ",3924.799727,3387.373622,3385.797842,3890.103937,3974.46926,4518.873647,4535.367034
"","","","5142215 - Ysgol Ieuan Gwynedd ",10010.588171,5139.146294,9754.169234,".",".",".","."
"","","","5142216 - Ysgol Y Friog ",7366.581115,6012.621416,5097.638557,".",".",".","."
"","","","5142217 - Ysgol Gynradd Aberdyfi ",".",".",".",".",".",".","."
"","","","5142219 - Ysgol Tanycastell ",4035.948367,3853.092579,3963.251131,4027.211209,4126.386158,4439.583888,4644.408219
