"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5142116 - Ysgol Glancegin ",132.129623,122.48445,114.37237,56.612981,49.139928
"","","","5142118 - Ysgol Babanod Coedmawr ",46.838177,52.499652,33.331058,31.376673,49.129341
"","","","5142119 - Ysgol Yr Hendre ",-24.470471,-1.079923,21.045003,-28.083922,-47.168502
"","","","5142122 - Ysgol Gynradd Bontnewydd ",19.451861,30.647568,37.548713,46.452088,61.195942
"","","","5142123 - Ysgol Y Garnedd ",42.583105,19.122703,46.370209,21.090838,24.291834
"","","","5142125 - Ysgol Cymerau ",54.085433,57.449849,64.551933,58.242011,84.422801
"","","","5142126 - Ysgol Abercaseg ",45.615251,13.17782,32.163494,63.276268,102.12703
"","","","5142127 - Ysgol Gynradd Y Felinheli ",2.939758,4.599347,15.052006,31.871672,20.691241
"","","","5142179 - Y.G. Abergynolwyn ",".",".",".",".","."
"","","","5142180 - Ysgol Bro Tegid ",15.03857,17.433065,41.721323,40.162096,-0.000089
"","","","5142181 - Ysgol y Traeth ",30.517767,37.056725,51.385262,46.9839,64.963906
"","","","5142182 - Ysgol Y Clogau ",0,".",0,".","."
"","","","5142183 - Ysgol Gynradd Brithdir ",26.112441,11.079937,0.000304,".","."
"","","","5142184 - Ysgol Gynradd Bryncrug ",".",".",".",".","."
"","","","5142185 - Ysgol Gynradd Dyffryn Dulas ",37.34869,18.887818,20.079395,6.268385,17.98701
"","","","5142186 - Ysgol Gynradd Croesor ",".",".",".",".","."
"","","","5142187 - Ysgol Dinas Mawddwy ",29.960929,6.265238,-0.000226,".","."
"","","","5142189 - Ysgol Dyffryn Ardudwy ",50.024557,41.714896,40.901758,29.867852,41.427679
"","","","5142190 - Ysgol Bro Cynfal ",19.085486,4.644484,19.427824,23.685608,27.329588
"","","","5142191 - Ysgol Ganllwyd ",3.694138,0.770212,-0.000457,".","."
"","","","5142192 - Ysgol Edmwnd Prys ",6.81946,3.712652,17.425131,12.253239,11.205509
"","","","5142194 - Ysgol Gynradd Llanbedr ",12.961021,16.384022,23.964875,15.009981,9.053716
"","","","5142196 - Ysgol Gynradd Llanegryn ",".",".",".",".","."
"","","","5142197 - Ysgol Gynradd Llanelltyd ",5.527596,0.116984,0.000256,".","."
"","","","5142198 - Ysgol Y Garreg ",11.919098,12.403151,16.101737,19.122033,9.939118
"","","","5142199 - Ysgol O.M. Edwards ",29.50322,24.69582,34.55114,26.081823,5.780477
"","","","5142200 - Y.G. Llawrybetws ",".",".",".",".","."
"","","","5142201 - Ysgol Gynradd Llwyngwril ",".",".",".",".","."
"","","","5142205 - Ysgol Manod ",29.836029,49.200829,71.259803,65.318368,50.314456
"","","","5142206 - Ysgol Gynradd Y Parc ",".",".",".",".","."
"","","","5142207 - Ysgol Gynradd Pennal ",16.058315,3.80296,7.889006,-1.090072,2.200545
"","","","5142208 - Ysgol Cefn Coch ",30.869032,25.055236,45.104042,51.126963,73.120567
"","","","5142210 - Ysgol Gynradd Talsarnau ",11.694669,-5.760632,12.852985,23.868326,34.916418
"","","","5142211 - Ysgol Gynradd Tanygrisiau ",4.983269,-9.812296,13.631984,14.152401,13.317602
"","","","5142212 - Ysgol Penybryn ",87.876619,27.321675,40.398543,60.879105,72.502818
"","","","5142213 - Ysgol Bro Hedd Wyn ",43.461575,28.990923,15.312117,21.198916,19.859911
"","","","5142214 - Ysgol Bro Tryweryn ",35.447814,48.703873,45.143923,39.261279,51.989865
"","","","5142215 - Ysgol Ieuan Gwynedd ",4.904752,-3.867653,-0.000187,".","."
"","","","5142216 - Ysgol Friog ",-1.033569,-1.108254,0.000247,".","."
"","","","5142217 - Ysgol Gynradd Aberdyfi ",".",".",".",".","."
"","","","5142219 - Ysgol Tanycastell ",18.744598,15.262708,12.791255,4.505142,12.981391
"","","","5142220 - Ysgol Ffridd Y Llyn ",20.807924,23.083818,59.689013,45.834936,28.722536
"","","","5142221 - Ysgol Maenofferen ",83.879792,31.821412,42.638321,75.606711,89.198296
"","","","5142227 - Ysgol Gynradd Hirael ",63.152304,38.166071,27.025271,54.16834,66.639173
"","","","5142228 - Ysgol Craig y Deryn ",-4.087716,4.774426,12.529961,32.127995,36.732887
"","","","5142229 - Bro Llifon ",7.324423,19.556581,40.197716,66.44012,44.65491
"","","","5143004 - Ysgol Pont Y Gof ",32.811719,65.171032,61.216897,24.932679,36.161922
"","","","5143005 - Ysgol Gynradd Maesincla ",88.477289,97.762883,93.328982,116.428278,116.579382
"","","","5143009 - Ysgol Y Faenol ",43.602668,40.760591,76.216587,79.077356,82.448918
"","","","5143010 - Ysgol Foel Gron ",7.573926,5.891152,16.627679,13.560591,1.028127
"","","","5143013 - Ysgol Llandygai ",100.975251,82.910624,57.774405,47.424098,28.461195
"","","","5143018 - Ysgol Gynradd Llandwrog ",20.993154,26.882181,27.898301,24.298584,18.462358
"","","","5143023 - Ysgol Llanystumdwy ",4.411637,-2.062655,6.255059,4.838847,0.813679
"","","","5143029 - Ysgol Tregarth ",103.375353,36.90371,33.325925,26.487133,26.231633
"","","","5143030 - Ysgol Cae Top ",40.931226,4.869431,-1.794384,0.822781,1.07991
"","","","5143037 - Ysgol Machreth ",0,".",".",".","."
"","","","5143041 - Ysgol Gynradd Dolgellau ",13.932524,3.910913,0.00027,".","."
"","","","5143300 - Ysgol Santes Helen ",47.83739,27.257069,32.985733,32.556343,33.222305
"","","","5143301 - Ysgol Ein Harglwyddes ",20.886121,18.259349,13.084738,21.931894,17.894337
"","","","5143305 - Ysgol Beuno Sant ",-2.9036,24.703558,28.913941,9.811799,-0.000273
"","","Gwynedd - Secondary ","",791.814997,816.786739,893.695237,973.686629,1428.560342
"","","Gwynedd - Secondary ","5144002 - Ysgol Dyffryn Ogwen ",63.583725,94.869873,6.929139,20.628593,-27.789886
"","","","5144003 - Ysgol Botwnnog ",-37.815385,-40.937499,-5.71861,-8.233214,-20.950347
"","","","5144004 - Ysgol Brynrefail ",23.041756,134.144669,270.927984,204.678199,225.525907
"","","","5144007 - Ysgol Dyffryn Nantlle ",136.583867,74.255832,109.107347,36.024717,27.21218
"","","","5144009 - Ysgol Eifionydd ",39.441323,19.075024,13.20217,51.085756,126.492999
"","","","5144030 - Ysgol Y Gader ",235.704556,202.076443,-0.000113,".","."
"","","","5144031 - Ysgol Y Moelwyn ",124.343421,248.183562,255.261849,140.776096,129.708369
"","","","5144032 - Ysgol Uwchradd Tywyn ",-59.374803,-116.177101,-49.033672,41.014454,115.667549
"","","","5144033 - Ysgol Y Berwyn ",-118.686303,-94.699186,-118.938384,-151.140462,-0.000005
"","","","5144034 - Ysgol Ardudwy ",76.099298,54.17695,46.400639,49.761571,72.605904
"","","","5144036 - Ysgol Friars ",110.360622,14.982144,60.157202,22.822426,7.249985
"","","","5144037 - Ysgol Tryfan ",29.638913,27.383934,57.495488,34.140034,29.937269
"","","","5144039 - Ysgol Syr Hugh Owen ",-81.362008,-39.082907,43.444994,342.721601,529.297058
"","","","5144040 - Ysgol Glan Y Mor ",250.256015,238.535001,204.459204,189.406858,213.60336
"","","Gwynedd - Middle ","",".",".",425.371694,484.78943,398.894001
