"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5322167 - Penclawdd Primary School ",12.419,-17.489,8.945,56.085,74.707
"","","","5322172 - Pengelli Primary School ",44.118,27.728,31.876,23.211,25.96
"","","","5322174 - Penllergaer Primary School ",48.78557,75.62257,97.18557,122.03757,141.46957
"","","","5322176 - Penyrheol Primary School ",55.96997,30.77697,55.89097,25.40197,19.97097
"","","","5322186 - Pontarddulais Primary School ",154.516,97.37,73.157,90.545,71.691
"","","","5322189 - Ysgol Gynradd Gymraeg Bryniago ",55.62063,54.92663,48.48963,61.73763,85.42363
"","","","5322192 - Pontlliw Primary School ",99.77086,82.26686,71.19486,65.76686,56.14486
"","","","5322209 - Tregwyr Junior School ",".",".",".",".","."
"","","","5322210 - Tregwyr Infant School ",".",".",".",".","."
"","","","5322211 - Tre Uchaf Primary School ",72.15852,43.99552,61.44852,49.28252,29.88652
"","","","5322212 - Ysgol Gynradd Gymraeg Pontybrenin ",73.393,9.264,-32.517,78.443,56.92218
"","","","5322215 - Craigfelen Primary School ",180.765,60.265,60.107,60.211,75.239
"","","","5322216 - Pennard Primary School ",96.84891,91.12691,85.40317,78.17817,70.52017
"","","","5322217 - Knelston Primary School ",61.82955,59.15355,62.65721,64.71921,77.07221
"","","","5322219 - Pen-y-Fro Primary ",43.371,21.356,58.243,80.644,104.774
"","","","5322223 - Pontybrenin Primary School ",95.70162,36.00962,32.90262,67.15462,74.27162
"","","","5322225 - Talycopa Primary School ",51.217,24.53,24.987,62.965,21.21482
"","","","5322226 - Glyncollen Primary School ",49.932,27.948,46.459,75.746,32.624
"","","","5322229 - Ysgol Gynradd Gymraeg Y Login Fach ",71.701,60.929,79.681,49.867,53.266
"","","","5322231 - Ysgol Gynradd Gymraeg Tirdeunaw ",66.931,95.189,92.325,68.852,51.707
"","","","5322232 - Ysgol Gynradd Gymraeg Gellionnen ",60.402,51.751,37.623,73.148,72.044
"","","","5322233 - Gors Community Primary School ",50.245,60.133,60.201,90.568,84.952
"","","","5322234 - Sea View Community Primary School ",61.518,74.85,89.025,136.922,83.32977
"","","","5322235 - YGG Llwynderw ",94.271,106.239,102.69669,156.14669,224.04169
"","","","5322236 - Birchgrove Primary ",196.30361,161.18561,131.06561,147.71161,113.89361
"","","","5322237 - Dunvant Primary School ",52.90281,57.08081,52.87889,42.20481,3.04881
"","","","5322238 - Gwyrosydd Primary School ",98.166,26.025,57.145,52.849,38.212
"","","","5322239 - St Thomas Community Primary School ",264.78442,232.29442,198.15142,212.23142,167.42642
"","","","5322240 - Gowerton Primary School ",115.039,58.597,11.77,59.981,2.054
"","","","5322241 - Pentre’r Graig Primary School ",59.44927,47.98927,55.03227,60.96327,56.54627
"","","","5322242 - YGG Tan-y-lan ",71.853,40.444,37.228,47.275,42
"","","","5322243 - Burlais Primary School ",185.2872,144.9812,86.9872,34.7342,32.8702
"","","","5322244 - Clydach Primary School ",48.985,6.505,32.282,38.206,35.623
"","","","5322245 - Ysgol Gymraeg y Cwm ",70.576,29.286,55.286,11.168,-44.544
"","","","5322246 - Gorseinon Primary School ",188.80489,170.38789,70.20189,56.80089,32.74689
"","","","5322247 - Brynhyfryd Primary School ",-8.985,8.643,53.445,33.525,19.118
"","","","5323300 - St Josephs  Cathedral Junior School ",".",".",".",".","."
"","","","5323302 - St Joseph's Cathedral Infant School ",".",".",".",".","."
"","","","5323303 - St David's Catholic Primary School ",84.88848,34.14948,78.13348,63.46248,9.97348
"","","","5323305 - St Illtyd's R.C. Primary School ",171.786,89.059,84.591,64.284,56.51277
"","","","5323306 - Christchurch (C.I.W.) Voluntary Aided  School ",88.227,70.813,65.741,79.826,85.27584
"","","","5323308 - St Josephs Catholic Primary School ",129.69,59.244,50.368,57.899,33.431
"","","","5323309 - St Joseph's Cathedral Primary School ",185.37775,176.51675,172.70675,164.23075,108.53375
"","","","5329997 - Y.G y Cwm ",".",".",".",".","."
"","","","5329998 - Gorseinon Primary ",".",".",".",".","."
"","","","5329999 - Clydach Primary ",".",".",".",".","."
"","","Swansea - Secondary ","",2188.589,1687.15686,1612.64625,2730.33179,2777.16309
"","","Swansea - Secondary ","5324023 - Mynyddbach Comprehensive School for Girls ",".",".",".",".","."
"","","","5324024 - Penlan Comprehensive (Boys School) ",".",".",".",".","."
"","","","5324031 - Cefn Hengoed Community School ",110.143,104.10921,118.54418,152.85375,101.46183
"","","","5324032 - Olchfa School ",548.014,550.81883,553.11499,574.48305,511.98454
"","","","5324033 - Morriston Comprehensive School ",75.328,26.28793,-466.94565,-238.04413,352.5282
"","","","5324041 - Dynevor School ",".",".",".",".","."
"","","","5324043 - Pentrehafod School ",291.47,271.20505,-39.86984,9.60913,59.01623
"","","","5324044 - Bishop Gore School ",250.46,302.36426,352.62863,391.50814,77.64834
"","","","5324062 - Penyrheol Comprehensive School ",266.395,209.52992,230.16113,222.44468,131.48283
"","","","5324063 - Gowerton School ",150.035,217.8708,258.86602,398.59815,447.96485
"","","","5324069 - Bishopston Comprehensive School ",87.392,86.49212,158.4277,327.05486,217.59958
"","","","5324071 - Dillwyn Llewelyn Community School ",".",".",".",".","."
"","","","5324072 - Pontarddulais Comprehensive School ",22.09,29.59999,59.46263,28.70748,-117.50031
"","","","5324074 - Ysgol Gyfun Gwyr ",26.474,63.40424,103.84181,105.47721,176.63052
"","","","5324075 - Birchgrove Comprehensive School ",-44.457,75.93244,217.03208,302.58727,376.33852
"","","","5324076 - Dylan Thomas Community School ",170.439,55.99559,-85.91541,11.59767,259.30214
"","","","5324077 - Daniel James Community School ",".",".",".",".","."
"","","","5324078 - Ysgol Gyfun Bryn Tawe ",133.349,135.91266,214.80145,180.63814,81.67707
"","","","5324600 - Bishop Vaughan R.C. School ",101.457,-442.36618,-61.50347,262.81639,101.02875
"","","Swansea - Middle ","",".",".",".",".","."
"","","Swansea - Special ","",331.635,454.287,177.09767,176.008,254.29026
"","","Swansea - Special ","5327000 - Ysgol Pen-y-Bryn ",250.147,341.425,31.20967,0.028,134.08969
"","","","5327008 - Ysgol Crug Glas ",81.488,112.862,145.888,175.98,120.20057
"","Neath Port Talbot ","","",3215,2755,2870,1118,-633
"","Neath Port Talbot ","Neath Port Talbot - Nursery ","5341013 - Pencoed Nursery ",".",".",".",".","."
"","","Neath Port Talbot - Primary ","",2321,2007,2325,1653,637
"","","Neath Port Talbot - Primary ","5342100 - Alltwen Primary School ",-29,-6,37,26,44
"","","","5342101 - Blaendulais Primary School ",65,62,63,52,26
"","","","5342106 - Blaengwrach Primary School ",25,32,49,31,28
"","","","5342110 - Blaenhonddan Primary School ",32,4,-7,5,5
"","","","5342111 - Abergwynfi Junior School ",".",".",".",".","."
"","","","5342113 - Brynhyfryd Primary School ",31,48,32,0,"."
"","","","5342116 - Abergwynfi Infant School ",".",".",".",".","."
"","","","5342118 - Clun Primary School ",0,".",".",".","."
"","","","5342119 - Baglan Primary School ",104,137,149,96,27
"","","","5342121 - Coedffranc Junior School ",".",".",".",".","."
"","","","5342124 - Bryn Primary School ",0,".",".",".","."
"","","","5342125 - YGGD Cwmgors ",0,".",".",".","."
"","","","5342126 - Coedffranc Infant School ",".",".",".",".","."
"","","","5342127 - Central Junior School ",87,".",".",".","."
"","","","5342128 - YGGD Cwmllynfell ",27,16,10,15,-1
"","","","5342129 - Creunant Primary School ",26,14,27,5,-2
"","","","5342130 - Central Infant School ",36,".",".",".","."
"","","","5342132 - Cwmafan Junior School ",".",".",".",".","."
"","","","5342134 - Crymlyn Primary School ",-51,-62,-56,-110,-135
"","","","5342135 - Cwmafan Infant School ",".",".",".",".","."
"","","","5342137 - Cwmnedd Primary School ",40,82,73,51,79
"","","","5342138 - Cymer Afan Primary School ",7,-3,-2,12,2
"","","","5342139 - Ysgol GGD Glyn ",".",".",".",".","."
"","","","5342140 - Godre'rgraig Primary School ",33,33,42,60,58
"","","","5342141 - Duffryn Afan Primary School ",".",".",".",".","."
"","","","5342142 - Eastern Primary School ",62,55,4,-44,-87
"","","","5342144 - Gnoll Primary School ",163,115,76,30,71
"","","","5342145 - Glanymor Primary School ",".",".",".",".","."
"","","","5342148 - Glyncorrwg Primary School ",26,0,-4,10,3
"","","","5342149 - YGG Gwaun-Cae-Gurwen ",69,47,72,73,46
"","","","5342150 - Catwg Primary School ",83,95,77,95,101
"","","","5342152 - Llansawel Primary School ",11,-2,-52,0,"."
"","","","5342155 - Maesmarchog Community Primary School ",33,40,60,52,71
"","","","5342156 - Pontrhydyfen Primary School ",0,".",".",".","."
"","","","5342158 - YGG Rhos-Afan ",52,53,50,19,26
"","","","5342160 - Melin Junior School ",38,44,".",".","."
"","","","5342161 - Sandfields Primary School ",28,29,91,22,-69
"","","","5342165 - Tonmawr Primary School ",0,".",".",".","."
"","","","5342166 - Mynachlog Nedd Junior School ",-34,".",".",".","."
"","","","5342168 - YGG Castell-nedd ",68,96,57,64,14
"","","","5342170 - Neath Abbey Infant School ",88,".",".",".","."
"","","","5342171 - Tir Morfa Primary School ",".",".",".",".","."
"","","","5342173 - Croeserw Primary School ",54,0,-1,23,61
"","","","5342175 - Tywyn Primary School ",53,71,71,116,117
"","","","5342178 - Llangiwg Primary School ",-49,-15,-69,-174,-206
"","","","5342181 - Tonnau Primary Community School ",-21,30,84,64,74
"","","","5342182 - Traethmelyn Primary School ",40,0,".",".","."
"","","","5342187 - Ynysfach Primary School ",69,61,67,57,39
"","","","5342191 - Blaenbaglan Primary School ",91,90,148,117,101
"","","","5342193 - Ynysmaerdy Primary School ",39,73,88,0,"."
"","","","5342196 - Crynallt Junior School ",".",".",".",".","."
"","","","5342198 - Ysgol G.G.D. Rhiwfawr ",".",".",".",".","."
"","","","5342200 - Rhos Primary School ",47,17,38,61,34
"","","","5342202 - YGG Blaendulais ",15,1,29,12,-17
"","","","5342203 - Rhydyfro Primary School ",-12,-10,31,21,0
"","","","5342204 - Groes Primary School ",4,-40,-5,0,"."
"","","","5342205 - YGG Cwm Nedd ",17,-9,15,13,-1
"","","","5342206 - Tairgwaith Primary School ",17,25,43,70,22
"","","","5342207 - Crynallt Infant School ",".",".",".",".","."
"","","","5342208 - YGGD Trebannws ",13,15,18,9,7
"","","","5342213 - YG Y Wern ",49,8,0,".","."
"","","","5342218 - YGG Pontardawe ",-47,-26,15,27,-2
"","","","5342221 - Waunceirch Primary School ",-34,16,-17,-73,-187
"","","","5342228 - Melin Infant School ",31,48,".",".","."
"","","","5342230 - Cilffriw Primary School ",72,72,58,16,5
"","","","5342231 - YGG Tyle'r Ynn ",20,30,37,37,33
"","","","5342232 - Coed Hirwaun Primary School ",30,21,-2,20,-4
"","","","5342233 - Coedffranc Primary School ",34,-57,3,-6,-33
"","","","5342234 - Pen Afan Primary ",20,-3,-7,13,27
"","","","5342235 - Awel Y Môr Primary School ",81,49,84,282,283
"","","","5342236 - Crynallt Primary ",13,-26,77,61,-52
"","","","5342237 - Cwmafan Primary School ",282,246,168,42,7
"","","","5342238 - Central Primary School ",".",50,73,61,57
"","","","5342239 - Abbey Primary School ",".",53,79,78,42
"","","","5342240 - Melin Primary School ",".",".",73,34,56
"","","","5342241 - Ysgol Carreg Hir ",".",".",".",101,205
"","","","5343309 - St Joseph's Catholic Primary School ",42,8,19,4,-19
"","","","5343310 - St Joseph's Catholic Infant School ",73,73,107,63,45
"","","","5343311 - Bryncoch CIW Primary School ",19,27,14,-28,-128
"","","","5343313 - Alderman Davies CIW Primary School ",43,53,17,-38,-195
"","","","5343314 - St Therese's Catholic Primary School ",35,64,65,3,-43
"","","","5343316 - St Joseph's Catholic Junior School ",61,63,57,3,2
"","","Neath Port Talbot - Secondary ","",762,484,327,97,109.3
"","","Neath Port Talbot - Secondary ","5344047 - Cymer Afan Comprehensive School ",23,21,-12,16,0
"","","","5344052 - Glan Afan Comprehensive School ",-84,0,".",".","."
"","","","5344056 - Sandfields Comprehensive School ",-11,0,".",".","."
"","","","5344059 - Dyffryn School ",46,49,4,0,"."
"","","","5344060 - Ysgol Gyfun Ystalyfera ",-62,6,0,".","."
"","","","5344064 - Cefn Saeson Comprehensive School ",-160,-66,-349,-268,-24
"","","","5344065 - Cwmtawe Community School ",463,224,257,171,295.3
"","","","5344066 - Llangatwg Community School ",48,25,12,-21,-72.6
"","","","5344067 - Dwr Y Felin Comprehensive School ",361,285,277,236,162.9
"","","","5344068 - Cwrt Sart Community Comprehensive School ",110,0,".",".","."
"","","","5344601 - St Joseph's RC School and 6th Form Centre ",28,-60,138,-37,-252.3
"","","Neath Port Talbot - Middle ","",".",137,57,-632,-1074
"","","Neath Port Talbot - Middle ","5345500 - Ysgol Bae Baglan ",".",137,-31,-19,18
"","","","5345501 - Ysgol Newydd Gymunedol Gymraeg ",".",".",88,-219,-351
"","","","5345502 - Ysgol Cwm Brombil ",".",".",".",-394,-741
"","","Neath Port Talbot - Special ","",132,127,161,0,-305.3
"","","Neath Port Talbot - Special ","5347005 - Ysgol Hendre Residential School ",".",".",".",".","."
"","","","5347006 - Ysgol Maes Y Coed ",31,30,81,65,-105
"","","","5347007 - Velindre Community School ",".",".",".",".","."
"","","","5347008 - Ysgol Hendrefelin ",101,97,80,-65,-200.3
"","Bridgend ","","",2155,865,360,614,108
"","Bridgend ","Bridgend - Nursery ","",".",".",".",".","."
"","","Bridgend - Nursery ","5361017 - Pontycymer Nursery School ",".",".",".",".","."
"","","","5361019 - Caerau Nursery School ",".",".",".",".","."
"","","","5361020 - Ogmore Vale Nursery School ",".",".",".",".","."
"","","","5361021 - Nantymoel Nursery School ",".",".",".",".","."
"","","","5361022 - Sarn Nursery School ",".",".",".",".","."
"","","Bridgend - Primary ","",1533,466,261,352,-543
"","","Bridgend - Primary ","5362046 - Abercerdin Primary School ",-14,-38,2,66,-7
"","","","5362048 - Aber Infants School ",".",".",".",".","."
"","","","5362051 - Betws Primary School ",68,40,71,75,17
"","","","5362051.1 - Betws Junior ",".",".",".",".","."
"","","","5362055 - Blaengarw Primary School ",42,25,34,13,-33
"","","","5362075 - Bryncethin Junior School ",".",".",".",".","."
"","","","5362086 - Brynmenyn Primary School ",25,-44,-78,-99,-205
"","","","5362090 - Bryntirion Infants School ",43,28,8,-20,-6
"","","","5362094 - Blaencaerau Junior School ",".",".",".",".","."
"","","","5362103 - Cefn Cribwr Primary School ",27,21,15,28,11
"","","","5362109 - Coety Primary School ",-89,-151,-219,-203,-206
"","","","5362117 - Cwmfelin Primary School ",30,20,31,39,36
"","","","5362122 - Ffaldau Primary School ",21,37,3,26,11
"","","","5362126 - Fronwen Primary School ",".",".",".",".","."
"","","","5362129 - Garth Primary School ",52,4,-8,-16,-9
"","","","5362136 - Heolycyw Primary School ",".",".",".",".","."
"","","","5362141 - Litchard Junior School ",".",".",".",".","."
"","","","5362146 - Coychurch (Llangrallo) Primary School ",12,12,24,18,6
"","","","5362149 - Llangynwyd Primary School ",14,6,26,1,-16
"","","","5362162 - Mynydd Cynffig Junior School ",0,".",".",".","."
"","","","5362166 - Mynydd Cynffig Infants School ",0,".",".",".","."
"","","","5362172 - Nantyffyllon Primary School ",30,29,68,43,-16
"","","","5362178 - Nantymoel Primary School ",14,-18,29,25,-14
"","","","5362185 - Newton Primary School ",23,16,17,30,-2
"","","","5362194 - Nottage Primary School ",45,-69,-75,-16,-38
"","","","5362198 - Oldcastle Junior School ",".",".",".",".","."
"","","","5362202 - Oldcastle Infants School ",".",".",".",".","."
"","","","5362205 - Pandy Infants School ",".",".",".",".","."
"","","","5362210 - Pencoed Junior School ",".",".",".",".","."
"","","","5362214 - Pencoed Infant School ",".",".",".",".","."
"","","","5362220 - Penybont Primary School ",27,6,-16,-28,-57
"","","","5362227 - Pil Primary School ",47,40,46,55,61
"","","","5362232 - Plasnewydd Primary School ",90,74,75,56,49
"","","","5362256 - Trelales Primary School ",23,2,-8,-16,-19
"","","","5362259 - Ysgol Cynwyd Sant ",7,40,24,39,23
"","","","5362268 - Tynewydd Junior School ",".",".",".",".","."
"","","","5362275 - Tynyrheol Primary School ",42,18,-23,-41,-46
"","","","5362279 - Croesty Primary School ",26,0,-29,-79,-111
"","","","5362283 - Pandy'r Betws Infants ",".",".",".",".","."
"","","","5362288 - Corneli Primary School ",19,-110,-62,13,20
"","","","5362292 - Llangewydd Junior School ",22,26,13,25,6
"","","","5362294 - Bryntirion Junior School ",".",".",".",".","."
"","","","5362296 - Porthcawl Primary School ",3,32,10,30,30
"","","","5362298 - Ysgol Gymraeg Bro Ogwr ",36,58,32,95,143
"","","","5362299 - Litchard Infant School ",".",".",".",".","."
"","","","5362300 - Cefn Glas Infant School ",66,24,-2,-66,-62
"","","","5362301 - West Park Primary School ",64,22,27,15,-61
"","","","5362302 - Bryncethin Infants School ",".",".",".",".","."
"","","","5362303 - Brackla Junior School ",".",".",".",".","."
"","","","5362304 - Afon-y-Felin Primary School ",73,53,86,7,-47
"","","","5362332 - Blaenllynfi Infants School ",".",".",".",".","."
"","","","5362342 - Tondu Primary School ",36,-6,-23,-34,-112
"","","","5362357 - Brackla Infant School ",".",".",".",".","."
"","","","5362358 - Ysgol Y Ferch O'r Sger ",-8,18,-40,-139,-162
"","","","5362360 - Tremains Junior School ",".",".",".",".","."
"","","","5362363 - Ysgol G.G. Cwm Garw ",31,-7,-16,-12,9
"","","","5362366 - Tremains Infant School ",".",".",".",".","."
"","","","5362367 - Maes yr Haul Primary School ",30,-15,35,55,22
"","","","5362368 - Bryncethin Primary School ",66,44,36,78,-1
"","","","5362369 - Ogmore Vale Primary School ",20,-59,-145,-57,-115
"","","","5362370 - Pencoed Primary School ",24,29,-7,-20,-23
"","","","5362371 - Oldcastle Primary School ",15,70,62,37,96
"","","","5362372 - Brackla Primary School ",58,38,62,79,49
"","","","5362373 - Caerau Primary School ",76,76,88,148,130
"","","","5362374 - Litchard Primary School ",76,7,38,44,43
"","","","5362375 - Tremains Primary School ",85,24,6,17,32
"","","","5362376 - Mynydd Cynffig Primary School ",38,-44,-12,-27,-70
"","","","5362999 - Ogmore Vale Primary School ",".",".",".",".","."
"","","","5363013 - Penyfai C.I.W. Primary ",33,48,32,34,29
"","","","5363311 - St Mary's & St Patrick's Catholic Primary School ",9,12,7,13,30
"","","","5363315 - St. Robert's R.C. Primary School ",11,16,30,32,57
"","","","5363322 - St Mary's Catholic Primary School ",34,-10,-17,-10,20
"","","","5363323 - Archdeacon John Lewis Primary School ",11,22,4,-1,-35
"","","Bridgend - Secondary ","",162,-151,-436,-199,92
"","","Bridgend - Secondary ","5364059 - Cynffig Comprehensive School ",98,73,93,24,-24
"","","","5364068 - Bryntirion Comprehensive School ",137,81,106,133,98
"","","","5364071 - Maesteg School ",211,90,-9,-4,33
"","","","5364074 - Ynysawdre Comprehensive School ",".",".",".",".","."
"","","","5364076 - Pencoed Comprehensive School ",-18,-107,-214,-175,-317
"","","","5364078 - Brynteg School ",-485,-450,-473,-387,24
"","","","5364080 - Porthcawl Comprehensive School ",89,178,95,84,184
"","","","5364084 - Ogmore Comprehensive School ",".",".",".",".","."
"","","","5364085 - Ysgol Gyfun Gymraeg Llangynwyd ",49,64,48,130,-39
"","","","5364086 - Coleg Cymunedol Y Dderwen ",87,-58,-110,9,65
"","","","5364601 - Archbishop Mcgrath Catholic School ",-6,-22,28,-13,68
"","","Bridgend - Middle ","",".",".",".",".","."
"","","Bridgend - Special ","",460,550,535,461,559
"","","Bridgend - Special ","5367003 - Heronsbridge Special School ",404,567,600,402,437
"","","","5367012 - Ysgol Bryn Castell ",56,-17,-65,59,122
"","Vale of Glamorgan ","","",2946.347,2321.826,2622.733,2680,839.04954
"","Vale of Glamorgan ","Vale of Glamorgan - Nursery ","",39.327,36.601,36.919,44,48.45004
"","","Vale of Glamorgan - Nursery ","5381010 - Cadoxton Nursery School ",6.73,0.248,".",".","."
"","","","5381011 - Cogan Nursery School ",21.32,23.342,29.633,27,23.37033
"","","","5381013 - Bute Cottage Nursery School ",11.277,13.011,7.286,17,25.07971
"","","Vale of Glamorgan - Primary ","",2039.463,1639.884,1806.52,2055,803.70684
"","","Vale of Glamorgan - Primary ","5382109 - Albert Primary School ",67.991,97.944,92.943,97,46.72013
"","","","5382111 - Barry Island Primary ",76.811,46.14,33.287,42,2.97625
"","","","5382112 - Cadoxton Junior School ",".",".",".",".","."
"","","","5382113 - Cadoxton Infant School ",".",".",".",".","."
"","","","5382114 - Cogan Primary School ",119.178,154.325,65.066,58,39.91307
"","","","5382115 - Colcot Primary School ",57.867,51.715,27.206,34,-13.99671
"","","","5382116 - Dinas Powys Infants ",".",".",".",".","."
"","","","5382117 - Fairfield Primary School ",0.692,-35.471,0,40,-29.21823
"","","","5382118 - Gladstone Primary School ",74.968,77.848,36.173,44,-83.57672
"","","","5382120 - High Street Primary School ",34.027,20.121,23.624,28,19.05142
"","","","5382122 - Holton Primary School ",73.207,62.743,58.74,4,-39.99198
"","","","5382124 - Jenner Park Primary ",70.073,17.478,64.626,67,36.56155
"","","","5382126 - Llancarfan Primary School ",8.485,26.59,35.199,80,97.51875
"","","","5382127 - Llanfair Primary School ",7.792,14.516,15.501,23,8.90128
"","","","5382128 - Llangan Primary School ",35.781,32.19,56.781,51,35.19484
"","","","5382131 - Palmerston Primary School ",20.702,55.133,73.552,62,2.39502
"","","","5382133 - Rhws Primary School ",47.681,11.682,17.094,33,-44.48596
"","","","5382134 - Romilly Junior School ",".",".",".",".","."
"","","","5382135 - Romilly Infant School ",".",".",".",".","."
"","","","5382136 - Sully Primary School ",88.255,73.299,69.911,77,58.81909
"","","","5382138 - Victoria Primary School ",83.35,45.767,41.212,79,34.75869
"","","","5382142 - Llanilltud Fawr Primary ",0,".",".",".","."
"","","","5382143 - Murch Junior School ",".",".",".",".","."
"","","","5382144 - St Athan Primary School ",49.755,31.263,54.815,60,44.00746
"","","","5382146 - St Illtyd's Primary School ",68.477,59.646,57.392,70,29.78495
"","","","5382148 - Evenlode Primary School ",38.668,10.072,14.216,15,8.18014
"","","","5382149 - Llandough Primary ",34.211,57.378,58.011,72,35.99703
"","","","5382150 - Eagleswell Junior School ",".",".",".",".","."
"","","","5382151 - Y Bont Faen Primary ",45.15,50.098,64.998,55,66.16191
"","","","5382152 - Ysgol Pen-y-Garth ",15.72,0,23.963,24,0
"","","","5382156 - Ysgol Sant Baruc ",-1.363,-8.39,18.905,46,29.92777
"","","","5382162 - Eagleswell Infant and Nursery School ",".",".",".",".","."
"","","","5382163 - Oakfield Primary School ",15.726,4.57,60.695,44,28.36489
"","","","5382165 - Ysgol Iolo Morganwg ",49.453,26.633,18.46,36,21.93097
"","","","5382178 - Ysgol Sant Curig ",61.095,39.232,32.003,3,-55.69728
"","","","5382179 - Ysgol Gynradd Gwaun Y Nant ",48.039,40.261,30.501,28,16.04085
"","","","5382180 - Eagleswell Primary ",0,".",".",".","."
"","","","5382181 - Cadoxton Primary School ",40.715,11.318,0.585,72,55.25036
"","","","5382182 - Romilly Primary School ",25.765,28.558,23.776,16,5.77546
"","","","5382183 - Ysgol Gymraeg Nant Talwg ",0,".",".",".","."
"","","","5382184 - Ysgol Gymraeg Dewi Sant ",92.441,41.205,55.557,39,39.77793
"","","","5382185 - Dinas Powys Primary School ",4.691,0.14,16.662,38,-18.87245
"","","","5382186 - Ysgol Y Ddraig ",32.613,22.299,65.024,58,14.47545
"","","","5383027 - Penarth C.I.W. Primary ",".",".",".",".","."
"","","","5383037 - St Nicholas C.I.W. Primary ",65.158,69.47,105.23,73,56.67612
"","","","5383047 - Peterston Super Ely C.I.W. Primary ",29.608,30.689,30.199,29,27.10656
"","","","5383057 - Gwenfo C.I.W. Primary ",87.6,90.914,69.376,87,15.73812
"","","","5383320 - St Brides C.I.W. Primary School ",133.314,128.531,-9.247,56,13.64771
"","","","5383321 - Wick & Marcross C.I.W. Primary School ",143.094,71.813,50.863,87,60.81811
"","","","5383361 - St Helen's R.C. Infant & Nursery ",40.323,17.033,0,".","."
"","","","5383363 - Pendoylan C.I.W. Primary School ",-38.751,-40.573,-49.736,-23,-15.16117
"","","","5383364 - St Andrews Major C.I.W. Primary School ",6.371,20.914,40.747,40,48.30457
"","","","5383365 - Llansannor C.I.W. Primary School ",16.497,29.519,77.881,59,10.72632
"","","","5383367 - St David's C.I.W. Primary School ",10.508,0.011,15.398,0,-10.67146
"","","","5383368 - St Joseph's R.C. Primary School ",15.159,12.649,56.048,40,25.61105
"","","","5383369 - St Helen's R.C. Junior School ",22.044,13.585,0,".","."
"","","","5383372 - All Saints C.I.W. Primary School ",20.522,29.026,61.781,86,58.02093
"","","","5383373 - St Helen's Primary School ",".",".",51.502,26,20.24405
"","","Vale of Glamorgan - Secondary ","",506.824,529.299,731.79,616,17.41731
"","","Vale of Glamorgan - Secondary ","5384060 - Llantwit Major School ",51.746,98.824,92.322,100,63.547
"","","","5384061 - Barry Comprehensive School ",53.11,175.682,22.298,0,"."
"","","","5384062 - Bryn Hafren Comprehensive School ",320.939,250.651,246.711,0,"."
"","","","5384065 - Cowbridge Comprehensive School ",41.882,22.207,70.782,73,-9.05423
"","","","5384066 - Ysgol Gyfun Bro Morgannwg ",0,".",".",".","."
"","","","5384067 - St Cyres School ",-175.447,-141.388,85.273,32,-2.20827
"","","","5384068 - Whitmore High School ",".",".",".",16,7.31716
"","","","5384069 - Pencoedtre High School ",".",".",".",2,-160.88394
"","","","5384612 - St Richard Gwyn R.C. High School ",26.55,54.31,139.274,132,117.13703
"","","","5385400 - Stanwell School ",188.044,69.013,75.13,261,1.56256
"","","","5385401 - St Cyres Comprehensive School ",".",".",".",".","."
"","","Vale of Glamorgan - Middle ","5385500 - Ysgol Gymraeg Bro Morgannwg ",250.546,55.514,-52.067,-23,-112.53462
"","","Vale of Glamorgan - Special ","",110.187,60.528,99.571,-12,82.00997
"","","Vale of Glamorgan - Special ","5387012 - Ysgol Erw'r Delyn ",".",".",".",".","."
"","","","5387015 - Ysgol Maes Dyfan ",".",".",".",".","."
"","","","5387018 - Ashgrove School ",".",".",".",".","."
"","","","5387024 - Ysgol Y Deri ",110.187,60.528,99.571,-12,82.00997
"","","","5389999 - Ysgol Y Deri ",".",".",".",".","."
"","Rhondda Cynon Taf ","","",3618.840727,2150.98989,3406.44021,3007.019892,2378.58408
"","Rhondda Cynon Taf ","Rhondda Cynon Taf - Nursery ","",-13.917,0,".",".","."
"","","Rhondda Cynon Taf - Nursery ","5401003 - Robertstown Nursery School ",".",".",".",".","."
"","","","5401006 - Rhydyfelin Nursery School ",".",".",".",".","."
"","","","5401009 - Tonyrefail Nursery School ",".",".",".",".","."
"","","","5401010 - Ynyscynon Nursery School ",-13.917,0,".",".","."
"","","","5401011 - Cwmbach Nursery School ",".",".",".",".","."
"","","","5401015 - Tir Gwaidd Nursery School ",".",".",".",".","."
"","","","5401024 - Glynhafod Nursery School ",".",".",".",".","."
"","","","5401029 - Hirwaun Nursery School ",".",".",".",".","."
"","","Rhondda Cynon Taf - Primary ","",4181.223017,2835.45005,4173.93526,3704.539522,2933.44736
"","","Rhondda Cynon Taf - Primary ","5402044 - Penderyn Primary School ",54.348431,7.29459,38.78099,11.146901,11.11219
"","","","5402045 - Oaklands Primary School ",70.855591,5.77526,33.25562,22.880067,36.21869
"","","","5402047 - Aberllechau Primary School ",".",".",".",".","."
"","","","5402049 - Abercynon Infants School ",".",".",".",".","."
"","","","5402052 - Alaw Primary School ",65.133749,39.96718,37.47699,31.449078,39.75339
"","","","5402053 - Abernant Primary School ",10.910499,15.52968,15.50492,-0.739037,-15.93742
"","","","5402056 - Blaenclydach Infants School ",".",".",".",".","."
"","","","5402057 - Abertaf Primary School ",".",".",".",".","."
"","","","5402060 - Cilfynydd Primary School ",43.447956,31.3928,35.90153,42.085256,25.49842
