"","","","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","Blaenau Gwent ","",4336.648173,4690.362117,4719.663394,4728.898953,4739.528496,4759.756657,4826.694139,4876.36612,5110.188333
"","Blaenau Gwent ","Blaenau Gwent - Nursery ",0,0,0,0,0,0,0,0,0
"","","Blaenau Gwent - Primary ",4209.256423,4298.415153,4333.237189,4293.905288,4308.421406,4306.292135,4312.041238,4333.185939,4516.175187
"","","Blaenau Gwent - Middle ",".",".",4641.129032,4745.005455,4796.947519,4717.391304,4797.117544,4836.278399,4998.178431
"","","Blaenau Gwent - Secondary ",4094.517732,4740.550756,4872.120357,5011.436391,4865.841705,4800.148038,4819.474527,4904.11985,5085.124103
"","","Blaenau Gwent - Special ",21170,23680.412371,23298.969072,22282.488647,22666.666667,24590.47619,21978.704674,21418.300654,23307.163636
"","Torfaen ","",3934.650737,4074.401558,4116.936038,4126.063315,4137.559116,4196.636384,4212.158503,4364.90514,4585.781727
"","Torfaen ","Torfaen - Nursery ",6689.74278,6426.098321,6790.609233,6851.793347,7980.436723,7388.033817,5147.723133,0,0
"","","Torfaen - Primary ",3467.898861,3513.994357,3588.091706,3571.619846,3578.330893,3590.690789,3591.249485,3694.102296,3920.112346
"","","Torfaen - Middle ",".",".",0,0,0,0,0,0,0
"","","Torfaen - Secondary ",4182.412067,4434.281563,4459.209552,4502.621695,4539.95203,4650.845492,4670.68915,4894.004877,5055.990866
"","","Torfaen - Special ",20134.094808,20513.22867,21014.657168,22782.531531,22330.871546,22604.466386,23337.106797,22874.685182,25765.982979
"","Monmouthshire ","",4039.427192,4116.988214,4201.737324,4156.411253,4134.765826,4089.56205,4118.626251,4284.667198,4539.916244
"","Monmouthshire ","Monmouthshire - Nursery ",0,0,0,0,0,0,0,0,0
"","","Monmouthshire - Primary ",3501.45516,3565.790734,3626.637148,3578.516024,3594.540119,3559.770372,3562.292935,3704.038019,3841.664747
"","","Monmouthshire - Middle ",".",".",0,0,0,0,0,0,0
"","","Monmouthshire - Secondary ",4313.158649,4390.044821,4548.304492,4491.909843,4481.886761,4441.50198,4509.17122,4775.49128,5028.912634
"","","Monmouthshire - Special ",47129.553191,51913.8,51349.790698,54184.904762,49887.825,35823.696429,36131.821429,29794.827586,42689.655172
"","Newport ","",3885.425985,3948.682662,3948.539781,3910.555634,4070.720946,3985.339712,4012.724951,4067.891426,4168.946293
"","Newport ","Newport - Nursery ",5335.984898,5660.397972,5639.36202,5243.837714,6359.375,6740.740741,6314.964081,8378.354111,8541.126656
"","","Newport - Primary ",3454.058112,3492.819119,3489.328436,3370.689606,3436.845574,3373.200285,3381.938394,3407.46962,3739.106239
"","","Newport - Middle ",".",".",0,0,0,0,0,0,0
"","","Newport - Secondary ",4152.57271,4261.946361,4275.30576,4301.430869,4581.904199,4479.245283,4500.452073,4601.828366,4361.629039
"","","Newport - Special ",22756.310401,21625.83623,21724.725006,23675.691998,25242.038217,22619.565217,26771.204004,23181.390155,22421.834274
"","Cardiff ","",4426.560545,4259.335129,4224.052562,4277.882491,4425.671871,4547.811299,4625.971032,4782.334511,4980.95607
"","Cardiff ","Cardiff - Nursery ",7068.571429,5342.688679,6748.411765,7974.80597,8935.746032,9255.098039,9842.749141,10782.028986,11254.98155
"","","Cardiff - Primary ",3982.013912,3619.754684,3572.972448,3646.77273,3768.111194,3851.118581,3926.62519,4044.926162,4209.243224
"","","Cardiff - Middle ",".",".",0,0,0,0,0,0,0
"","","Cardiff - Secondary ",4616.198808,4725.361153,4725.008026,4752.072654,4927.732203,5117.737355,5180.088403,5340.738573,5532.657333
"","","Cardiff - Special ",20182.729084,20175.571078,20672.967864,20191.816982,21303.148782,22039.007092,22409.090909,22473.555736,22979.876161


